storeNumber,storeName,telephone,email,address,city,state_abbr,state,postal,latitude,longitude
R266,Bridge Street,(256) 327-8800,bridgestreet@apple.com,320 The Bridge Street,Huntsville,AL,Alabama,35806,34.716144,-86.673021
R796,Birkdale Village,(704) 972-0980,birkdalevillage@apple.com,8805 Townley Rd,Huntersville,NC,North Carolina,28078,35.44477,-80.8786
R131,La Cantera,(210) 276-2302,lacantera@apple.com,15900 La Cantera Parkway,San Antonio,TX,Texas,78256,29.59333,-98.61556
R550,Valley Plaza,(661) 396-3480,valleyplaza@apple.com,2701 Ming Avenue,Bakersfield,CA,California,93304,35.33795,-119.03271
R053,Millenia,(407) 352-5551,millenia@apple.com,4200 Conroy Road,Orlando,FL,Florida,32839,28.486,-81.43174
R167,Providence Place,(401) 533-9400,providenceplace@apple.com,20 Providence Place,Providence,RI,Rhode Island,02903,41.8269,-71.4163
R284,Lincoln Park,(312) 777-4200,lincolnpark@apple.com,801 W. North Avenue,Chicago,IL,Illinois,60642,41.91062,-87.64856
R134,Bridgeport Village,(503) 670-8400,bridgeportvillage@apple.com,7273 SW Bridgeport Road,Tigard,OR,Oregon,97224,45.3966862,-122.7512255
R286,The Promenade at Chenal,(501) 821-5130,thepromenadeatchenal@apple.com,17711 Chenal Parkway,Little Rock,AR,Arkansas,72223,34.76635,-92.45902
R346,Legacy Place,(781) 471-3800,legacyplace@apple.com,508 Legacy Place ,Dedham,MA,Massachusetts,02026,42.230872743618,-71.178393320255
R039,Valley Fair,(408) 551-2150,valleyfair@apple.com,2855 Stevens Creek Boulevard,Santa Clara,CA,California,95050,37.324585,-121.946497
R041,Twelve Oaks,(248) 675-0320,twelveoaks@apple.com,27500 Novi Road,Novi,MI,Michigan,48377,42.4924,-83.4704
R104,Bridgewater,(908) 547-3800,bridgewater@apple.com,400 Commons Way,Bridgewater,NJ,New Jersey,08807,40.58638,-74.61979
R354,Pheasant Lane,(603) 521-3400,R354@apple.com,310 Daniel Webster Highway,Nashua,NH,New Hampshire,03060,42.701675,-71.437373674391
R061,The Westchester,(914) 539-4530,thewestchester@apple.com,125 Westchester Avenue,White Plains,NY,New York,10601,41.031788,-73.760351
R059,Mayfair,(414) 290-9780,mayfair@apple.com,2500 N. Mayfair Road,Wauwatosa,WI,Wisconsin,53226,43.06355,-88.04479
R183,Ridgedale,(952) 486-4861,ridgedale@apple.com,12531 Wayzata Boulevard,Minnetonka,MN,Minnesota,55305,44.9685555,-93.436633377
R132,Woodland,(616) 956-1420,woodland@apple.com,3195 28th St. SE,Grand Rapids,MI,Michigan,49512,42.9166,-85.5883
R018,Woodfield,(630) 237-2160,woodfield@apple.com,N311 Woodfield Mall,Schaumburg,IL,Illinois,60173,42.0456619,-88.0388
R317,State Street,(805) 560-1500,statestreet@apple.com,928 State Street,Santa Barbara,CA,California,93101,34.421328623322,-119.701544216385
R027,Rockingham Park,(603) 328-3140,rockinghampark@apple.com,99 Rockingham Park Boulevard,Salem,NH,New Hampshire,03079,42.767197,-71.231989
