location_name,street_address,city,state,zip_code,latitude,longitude,charging_details,amenities,superchargers_count,when_available,power_capacity,state_name,brand,updated
FAIRFIELD INN,21282 Athens-Limestone Blvd.,Athens,AL,35613,34.786312,-86.942384,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, lodging, beverage, restrooms",8, 24/7, 150kW,Alabama,Tesla superchargers,2024-07-27
Tiger Crossing Shopping Center,1617  South College Street,Auburn,AL,36832,32.576339,-85.498239,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",12, 24/7, 250kW,Alabama,Tesla superchargers,2024-07-27
Auburn Mall,1627 Opelika Road,Auburn,AL,36830-2871,32.627995,-85.4451,"6 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",6, 24/7, 150kW,Alabama,Tesla superchargers,2024-07-27
Uptown Entertainment District,2221 Richard Arrington Junior Blvd.,Birmingham,AL,35203-1103,33.525489,-86.8076,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, lodging, beverage, restrooms",8, 24/7, 150kW,Alabama,Tesla superchargers,2024-07-27
Holiday Inn Express &amp; Suites Tuscaloosa,6350  Interstate Drive,Cottondale,AL,35453,33.17466,-87.450076,"8 Superchargers, available 24/7, up to 250kW","wifi, lodging, beverage, restrooms",8, 24/7, 250kW,Alabama,Tesla superchargers,2024-07-27
Winn-Dixie,1151 Ross Clark Cir,Dothan,AL,36301,31.2129473,-85.3614622,"12 Superchargers, available 24/7, up to 250kW","shopping, beverage, restrooms",12, 24/7, 250kW,Alabama,Tesla superchargers,2024-07-27
Hampton Inn Greenville,219 Interstate Drive,Greenville,AL,36037,31.855527,-86.635308,"12 Superchargers, available 24/7, up to 250kW","wifi, lodging, beverage, restrooms",12, 24/7, 250kW,Alabama,Tesla superchargers,2024-07-27
MidCity District,5909 University Dr,Huntsville,AL,35806,34.740608,-86.665899,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, lodging, restrooms",12, 24/7, 250kW,Alabama,Tesla superchargers,2024-07-27
Buc-ee's,6910  Buc-ee's Blvd,Leeds,AL,35094,33.542762,-86.587744,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",16, 24/7, 250kW,Alabama,Tesla superchargers,2024-07-27
The Bel Air Mall,3201 Airport Blvd,Mobile,AL,36606-3202,30.671543,-88.119041,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Alabama,Tesla superchargers,2024-07-27
