store_id,name,street,city,state,zip,phone,manager,store_opened,latitude,longitude,state_name
1087,Burnsville,14050 Burnhaven Dr,Burnsville,MN,55337-4407,(952) 229-6449                  ,Chelsea Bell,"Nov 23, 2010",44.75,-93.295,Minnesota
783,Eden Prairie,12011 Technology Dr,Eden Prairie,MN,55344-3620,(952) 943-4801                  ,Don Christensen,"Nov 18, 2004",44.861,-93.436,Minnesota
1363,Eagan,995 Blue Gentian Rd,Eagan,MN,55121-1542,(612) 439-8060                  ,John Allen,"Nov 15, 2019",44.86,-93.141,Minnesota
377,St Louis Park,5801 W 16Th St,Saint Louis Park,MN,55416-1446,(763) 582-9603                  ,Tracy Williams,"Nov 16, 2000",44.967,-93.354,Minnesota
652,Minneapolis Business Center,3311 Broadway St Ne,Minneapolis,MN,55413-4553,(651) 502-7600                  ,Colleen Crotser,"Jun 27, 2018",45.0,-93.216,Minnesota
1272,Woodbury,7070 Tamarack Road,Woodbury,MN,55125-1205,(612) 540-5458                  ,Jon Ingebretsen,"Nov 15, 2017",44.939,-92.963,Minnesota
648,Maple Grove,11330 Fountains Dr,Maple Grove,MN,55369-7200,(763) 494-8050                  ,Jeff Goto,"Oct 27, 2006",45.093,-93.425,Minnesota
1021,Maplewood,1431 Beam Ave,Maplewood,MN,55109-1064,(612) 486-1740                  ,Mike Ftacek,"Aug 28, 2008",45.029,-93.04,Minnesota
372,Coon Rapids,12547 Riverdale Blvd Nw,Minneapolis,MN,55448-6708,(763) 712-7763                  ,David Oertle,"Oct 23, 2001",45.199,-93.348,Minnesota
1344,St Cloud,3636 2Nd St S,Saint Cloud,MN,56301-3732,(320) 316-9865                  ,Katie Elder,"Jun 29, 2019",45.549,-94.2,Minnesota
1330,Webster,1310 Jasmine Ave,Webster,TX,77598,(281) 707-7750                  ,Scott Huntington,"Oct 19, 2018",29.533,-95.139,Texas
1221,Pearland,3500 Business Center Drive,Pearland,TX,77584-1952,(281) 707-7001                  ,Scott Ankrom,"Nov 12, 2015",29.544,-95.39,Texas
1018,Galleria,3836 Richmond Ave,Houston,TX,77027-5802,(832) 325-5850                  ,Matt Bennett,"Oct 22, 2008",29.735,-95.439,Texas
1487,Stafford Business Center,12717 Network Dr,Stafford,TX,77477,(346) 309-3871                  ,Brian Williams   Mgr,"Oct 20, 2021",29.638,-95.577,Texas
1146,Sugar Land,17520 Southwest Fwy,Sugar Land,TX,77479-2359,(281) 566-6720                  ,Jo Ciliberto     Mgr,"Jul 11, 2013",29.586,-95.644,Texas
680,Bunker Hill,1150 Bunker Hill Rd,Houston,TX,77055-6208,(713) 576-2053                  ,Jason Itaya      Mgr,"Jun 7, 2001",29.787,-95.529,Texas
1228,Humble,21802 Townsen Blvd W.,Humble,TX,77338-1594,(281) 707-7051                  ,Bruce Marteney,"Mar 18, 2016",30.021,-95.267,Texas
675,Willowbrook,12405 N Gessner Rd,Houston,TX,77064-1170,(832) 912-2353                  ,Kevin Moore       Mgr,"Jun 7, 2001",29.955,-95.547,Texas
1167,W Katy,23645 Katy Freeway,Katy,TX,77494-7221,(281) 347-9900                  ,Jeremiah Sorensen Mgr,"Feb 6, 2014",29.783,-95.781,Texas
1208,Cypress TX,26960 Nw Freeway,Cypress,TX,77433-4934,(832) 653-4576                  ,Kristina Hill,"Jul 19, 2019",29.979,-95.712,Texas
1332,N Miami,14800 Sole Mia Way,North Miami,FL,33181,(305) 944-8711                  ,Ed Wiegman,"Dec 12, 1992",25.912,-80.154,Florida
181,Miami Lakes,16580 Nw 59Th Ave,Miami Lakes,FL,33014-5611,(305) 825-9818                  ,Eddie Maiorana Mgr,"Dec 12, 1992",25.923,-80.299,Florida
1229,Miami,7795 West Flagler Street,Miami,FL,33144-2359,(786) 482-7135                  ,Rocky Rodriguez,"Oct 26, 1989",25.775,-80.322,Florida
91,Davie,1890 S University Dr,Davie,FL,33324-5808,(954) 370-8990                  ,Michael Reyes,"Aug 17, 1989",26.097,-80.248,Florida
742,Pembroke Pines,15915 Pines Blvd,Pembroke Pines,FL,33027-1201,(954) 266-3460                  ,Alan Pack,"Oct 14, 2005",26.01,-80.36,Florida
1023,Kendall,13450 Sw 120Th St,Miami,FL,33186-7393,(305) 964-4227                  ,Arman Taheri,"Nov 16, 1988",25.654,-80.413,Florida
88,Pompano,1800 W Sample Rd,Pompano Beach,FL,33064-1324,(954) 968-7114                  ,Adam Sherman,"Nov 29, 1988",26.273,-80.149,Florida
1323,Coral Springs,4621 Coral Ridge Dr.,Coral Springs,FL,33076-2200,(954) 715-8240                  ,Ed Flaherty,"Feb 7, 2019",26.289,-80.28,Florida
345,Boca Raton,17800 Congress Ave,Boca Raton,FL,33487-1200,(561) 981-5004                  ,Rosina Yeo,"Aug 30, 1990",26.412,-80.101,Florida
180,Lantana,1873 Lantana Rd,Lantana,FL,33462-2601,(561) 533-0958                  ,Gricel Morales,"Nov 15, 1984",26.589,-80.071,Florida
1189,Woodlands,8185 Highway 242,Conroe,TX,77385-4365,(936) 703-2295                  ,Jp Jeff Polloreno,"Nov 21, 2014",30.209,-95.453,Texas
1614,College Station,4321 State Hwy 6 South,College Station,TX,77845,(979) 321-6550                  ,Kiley Fitzpatrick,"Aug 4, 2022",30.567,-96.263,Texas
1049,Rockwall,1225 State Highway 276,Rockwall,TX,75032-9376,(972) 772-1602                  ,Marc Alvarez,"Apr 8, 2009",32.908,-96.446,Texas
636,Duncanville,250 W Highway 67,Duncanville,TX,75137-4415,(469) 221-8113                  ,Jennifer Castro,"Aug 9, 2006",32.621,-96.91,Texas
655,Dallas Business Center,8282 Park Ln,Dallas,TX,75231-6023,(469) 498-6623                  ,Marcela  Unanua,"Sep 5, 2019",32.869,-96.764,Texas
563,Las Vegas Business Center,222 S Martin L King Blvd,Las Vegas,NV,89106-4305,(702) 384-6247                  ,Clinton Shelton,"Feb 19, 2009",36.172,-115.162,Nevada
685,Summerlin,801 S Pavilion Center Dr,Las Vegas,NV,89144-4566,(702) 352-2053                  ,Kevin Endicott    Mgr,"Oct 4, 2001",36.163,-115.333,Nevada
737,Centennial,6555 N. Decatur Blvd,Las Vegas,NV,89131-2796,(702) 415-2300                  ,Connie Dizotell,"Oct 27, 2005",36.278,-115.209,Nevada
673,Henderson,791 Marks St,Henderson,NV,89014-8601,(702) 352-2000                  ,Liz Synder,"Nov 15, 1991",36.069,-115.037,Nevada
1320,SW Henderson,3411 Saint Rose Pkwy,Henderson,NV,89052-4570,(702) 803-7044                  ,Elizabeth Watts Mgr,"Nov 8, 2018",35.988,-115.138,Nevada
672,St George,835 N 3050 E,Saint George,UT,84790-9041,(435) 256-0003                  ,Ben Olson,"Nov 15, 2000",37.122,-113.522,Utah
1010,Victorville,14555 Valley Center Dr,Victorville,CA,92395-4216,(760) 524-9904                  ,John Lim          Mgr,"Oct 13, 1988",34.515,-117.318,California
441,Palm Desert,72800 Dinah Shore Dr,Palm Desert,CA,92211-0814,(760) 770-2810                  ,Tammi Campbell,"Mar 9, 1991",33.804,-116.39,California
638,La Quinta,79795 Highway 111,La Quinta,CA,92253-4756,(760) 775-0363                  ,Chris Marmon,"Nov 22, 2006",33.705,-116.273,California
478,San Bernardino,1099 E Hospitality Ln,San Bernardino,CA,92408-2813,(909) 478-3445                  ,Edward Walton,"Jun 22, 1989",34.068,-117.263,California
1350,Oklahoma City,13200 N Western Ave,Oklahoma City,OK,73114,(405) 832-5102                  ,Dan Rioux,"May 16, 2019",35.605,-97.53,Oklahoma
1444,Moore,2651 S. Telephone Rd,Moore,OK,73160-0008,(405) 300-7661                  ,Travis Wynns,"Jul 22, 2021",35.314,-97.496,Oklahoma
1207,Tulsa,10220 S Memorial Dr,Tulsa,OK,74133-7179,(918) 710-2220                  ,Tyler Smith,"Apr 21, 2016",36.014,-95.889,Oklahoma
1640,North Tulsa,4816 N 118Th Ave E,Tulsa,OK,74116,(539) 235-5110                  ,Bill Vanhoose,"May 25, 2023",36.223,-95.848,Oklahoma
1200,Wichita,9700 E Kellogg,Wichita,KS,67207-1821,(316) 226-7142                  ,Melinda Moser,"Jun 3, 2015",37.68,-97.224,Kansas
1097,Frisco,11220 Dallas Pkwy,Frisco,TX,75033-4102,(469) 200-7116                  ,Tony Arias        Mgr,"Oct 22, 2011",33.172,-96.838,Texas
1284,McKinney,3650 W University Dr,Mckinney,TX,75071-2934,(469) 347-6421                  ,Matt Walker       Mgr,"Jul 25, 2018",33.219,-96.66,Texas
683,Lewisville,851 State Highway 121 Byp,Lewisville,TX,75067-4158,(469) 948-1026                  ,Aimee Hill        Mgr,"Aug 25, 2004",32.998,-96.964,Texas
684,W Plano,1701 Dallas Pkwy,Plano,TX,75093-4580,(972) 246-2203                  ,Jodi Jaques      Mgr,"Sep 27, 2001",33.024,-96.832,Texas
1173,N Fort Worth,8900 Tehama Ridge Pkwy,Fort Worth,TX,76177-2004,(817) 806-9833                  ,April Beck        Mgr,"May 9, 2014",32.901,-97.321,Texas
1114,Concordville,700 Evergreen Dr,Glen Mills,PA,19342-2102,(610) 387-2205                  ,Ron Fortini      Mgr,"Nov 10, 2012",39.89,-75.532,Pennsylvania
245,King Of Prussia,201 Allendale Rd,King Of Prussia,PA,19406-1634,(610) 337-6601                  ,Chris Karnchanaphati,"Oct 11, 1997",40.091,-75.386,Pennsylvania
246,Christiana,900 Center Blvd,Newark,DE,19702-3221,(302) 894-0511                  ,Tom Borg,"Oct 1, 1998",39.677,-75.648,Delaware
1081,Sanatoga,14 W Lightcap Rd,Pottstown,PA,19464-3413,(610) 569-4137                  ,Pete Gwathmey,"Aug 17, 2011",40.238,-75.576,Pennsylvania
1415,Cherry Hill,650 Garden Park Blvd,Cherry Hill,NJ,08002-4250,(856) 406-7430                  ,Gina Pascale,"Oct 21, 2020",39.927,-75.04,New Jersey
248,Montgomeryville,740 Upper State Rd,North Wales,PA,19454-1403,(215) 353-4153                  ,Seth Friedman,"Jul 10, 1999",40.237,-75.234,Pennsylvania
1103,Bucks County,100 Veterans Way,Warminster,PA,18974-3533,(215) 347-1950                  ,Jim Zambrotta Mgr,"Oct 21, 2011",40.197,-75.08,Pennsylvania
749,Mt Laurel,100 Centerton Rd,Mount Laurel,NJ,08054-6103,(856) 359-3650                  ,Rob Greger,"Mar 3, 2005",39.972,-74.908,New Jersey
317,Lancaster PA,1875 Hempstead Rd,Lancaster,PA,17601-5671,(717) 396-8460                  ,Ron Lemen,"May 24, 1996",40.053,-76.257,Pennsylvania
1211,Allentown,791 N Krocks Rd,Allentown,PA,18106-9046,(484) 273-7056                  ,Nick Meadows,"Nov 18, 2016",40.566,-75.558,Pennsylvania
111,Tigard,7850 Sw Dartmouth St,Tigard,OR,97223-8401,(503) 639-0811                  ,R0N Cheek,"Nov 3, 1986",45.435,-122.758,Oregon
97,Clackamas,13130 Se 84Th Ave,Clackamas,OR,97015-9733,(503) 794-5500                  ,Ben Tehrani,"Nov 24, 1986",45.428,-122.574,Oregon
766,Wilsonville,25900 Sw Heather Pl,Wilsonville,OR,97070-5785,(503) 825-4003                  ,Alex Ryan,"Jul 24, 2003",45.333,-122.764,Oregon
9,Aloha,15901 Sw Jenkins Rd,Aloha,OR,97006-5045,(503) 644-7615                  ,Leah Grippin,"Oct 29, 1985",45.509,-122.842,Oregon
2,Portland,4849 Ne 138Th Ave,Portland,OR,97230-3401,(503) 252-2243                  ,Wendy Hiatt       Mgr,"Oct 27, 1983",45.559,-122.524,Oregon
692,Hillsboro,1255 Ne 48Th Ave,Hillsboro,OR,97124-5008,(503) 681-2800                  ,Niels Knowlton   Mgr,"Nov 17, 2005",45.536,-122.935,Oregon
1086,E Vancouver WA,19610 Se 1St St,Camas,WA,98607-7472,(360) 258-6221                  ,Wanda Lehman,"Nov 24, 2010",45.622,-122.473,Washington
772,Vancouver WA,6720 Ne 84Th St,Vancouver,WA,98665-2016,(360) 828-2262                  ,Greg Killian,"Aug 27, 2004",45.685,-122.605,Washington
1492,Salem,4885 27Th Ave. Se,Salem,OR,97306-6919,(503) 371-1729                  ,Ryan Watkins,"Mar 26, 1992",44.884,-123.007,Oregon
682,Albany,3130 Killdeer Ave Se,Albany,OR,97322-5359,(541) 918-7043                  ,Katrina Lopez,"Oct 12, 2001",44.638,-123.066,Oregon
1079,SW Tucson,1650 E Tucson Marketplace Blvd,Tucson,AZ,85713-6561,(520) 791-7340                  ,Jarod Mcpherson  Mgr,"Apr 14, 2011",32.181,-110.947,Arizona
431,NW Tucson,3901 W Costco Dr,Tucson,AZ,85741-2864,(520) 797-1980                  ,Shawna Ault,"Apr 1, 1989",32.326,-111.049,Arizona
407,Tucson,6255 East Grant Road,Tucson,AZ,85712-5804,(520) 886-6377                  ,Travis Maze     (Mgr),"May 1, 1982",32.252,-110.859,Arizona
1620,Queen Creek,20260 S Ellsworth Rd,Queen Creek,AZ,85142,(480) 847-1000                  ,Mary Magel       Mgr,"Jan 26, 2023",33.265,-111.637,Arizona
644,SE Gilbert,2887 S Market St,Gilbert,AZ,85295-1303,(480) 366-3950                  ,Bob Malloy       Mgr,"May 4, 2006",33.296,-111.746,Arizona
736,Chandler,595 S Galleria Way,Chandler,AZ,85226-4932,(480) 375-2051                  ,Demetrius Wiley,"Dec 1, 2005",33.293,-111.9,Arizona
1028,Mesa,1444 S Sossaman Rd,Mesa,AZ,85209-3400,(480) 333-6552                  ,Mike Wombacher    Mgr,"Oct 27, 1994",33.389,-111.669,Arizona
481,Gilbert,1415 N Arizona Ave,Gilbert,AZ,85233-1616,(480) 293-0053                  ,Kimber Bowman     Mgr,"Nov 1, 1979",33.377,-111.841,Arizona
436,Tempe,1445 W Elliot Rd,Tempe,AZ,85284-1103,(480) 496-6651                  ,Dave Debo,"Nov 1, 1989",33.347,-111.961,Arizona
465,Thomas Road,4502 E Oak St,Phoenix,AZ,85008-2411,(602) 808-0101                  ,Dan Bridge,"Dec 1, 1994",33.474,-111.985,Arizona
1222,Grand Chute,5401 W. Integrity Way,Grand Chute,WI,54913-8602,(920) 815-4500                  ,Jeremy Deshazer,"Nov 7, 2015",44.271,-88.488,Wisconsin
1162,Bellevue (Green Bay),2355 Costco Way,Bellevue,WI,54311-9206,(920) 469-5700                  ,Jennifer Hawkins,"Oct 17, 2013",44.458,-87.986,Wisconsin
