store_name,street,city,state,zip,phone,longitude,latitude,province,timezone,temp_closed,reopen_date,store_open_date,coming_soon,start_date,end_date,hybrid_stores,temporarily_closed,state_name,brand,updated
FAMILY DOLLAR #12682,13254 Us Highway 411,Odenville,AL,35120,205-702-9247,-86.41203,33.672268,,America/Chicago,N,,02/04/2021 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #13685,687 Co Rd 40 W,Prattville,AL,36067,334-310-1377,-86.551423,32.574239,,America/Chicago,N,,11/17/2023 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #13996,10370 United States Highway 23,Cropwell,AL,35054,--,-86.311023,33.504762,,America/Chicago,N,,05/17/2024 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #405,20 N Broadway Ave,Sylacauga,AL,35150-2522,256-207-5138,-86.250096,33.167993,,America/Chicago,N,,04/07/1979 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #13585,26591 E Main Street,West Point,MS,39773,659-268-0514,-88.646855,33.607827,,America/Chicago,N,,12/08/2022 00:00:00,N,,,Y,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #12815,25 County Rd 940,Cullman,AL,35057,256-297-7631,-87.05147,34.209785,,America/Chicago,N,,08/28/2021 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12735,21 Head Drive,Cleveland,AL,35049,205-725-8807,-86.58593,33.98529,,America/Chicago,N,,07/28/2022 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #4127,103 Highway 45 N,Aberdeen,MS,39730-2305,662-362-7853,-88.562943,33.827332,,America/Chicago,N,,04/27/2000 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #12882,14916 Highway 16 W,De Kalb,MS,39328,601-751-2465,-88.67036,32.775806,,America/Chicago,N,,10/07/2021 00:00:00,N,,,Y,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #13469,115 N Clay Street,Hackleburg,AL,35564,205-707-4020,-87.830127,34.277742,,America/Chicago,N,,01/05/2023 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #13473,7630 Stemley Bridge Road,Talladega,AL,35160-0000,256-521-0071,-86.217332,33.514005,,America/Chicago,N,,04/22/2023 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #13604,"1209 Highway 278, Ste B",Amory,MS,38821,662-597-6037,-88.469665,33.97759,,America/Chicago,N,,03/13/2023 00:00:00,N,,,Y,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #565,213 N Jackson Street,Starkville,MS,39759-2501,662-268-7030,-88.814446,33.466266,,America/Chicago,N,,09/02/1982 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,Y,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #13231,69255 Main Street,Blountsville,AL,35031,256-203-6137,-86.5912,34.084343,,America/Chicago,N,,09/29/2022 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #10649,3435 Highway 14,Millbrook,AL,36054,334-777-0700,-86.380497,32.512911,,America/Chicago,N,,09/01/2013 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #760,207 Battle Street E,Talladega,AL,35160-2419,256-268-5039,-86.09999,33.434724,,America/Chicago,N,,09/13/1984 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12668,35360 Us Highway 231,Ashville,AL,35953,205-702-9246,-86.26559,33.8429,,America/Chicago,N,,01/21/2021 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12608,47950 Us 78,Lincoln,AL,35096,659-200-1005,-86.11448,33.60373,,America/Chicago,N,,10/17/2020 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #13462,22070 Al Highway 9,Goodwater,AL,35072-8308,256-414-6118,-86.05401,33.058453,,America/Chicago,N,,03/31/2023 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #13476,771 Main St,Ragland,AL,35131,205-473-3644,-86.155837,33.742826,,America/Chicago,N,,03/16/2023 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #13847,247 Wesley Ave. N,Cullman,AL,35058,256-507-9584,-86.684375,34.247976,,America/Chicago,N,,01/27/2024 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #10483,13 Camden Bypass,Camden,AL,36726,334-729-6686,-87.27981,31.996664,,America/Chicago,N,,05/08/2014 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #10507,5321 Dale Drive,Marion,MS,39342,601-286-6394,-88.654741,32.416225,,America/Chicago,N,,05/22/2014 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #13788,3200 Main St.,Altoona,AL,35952,--,-86.3199,34.0295,,America/Chicago,N,,06/20/2024 00:00:00,Y,,,N,,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #11040,3100 Day Street,Montgomery,AL,36108-2100,334-777-0704,-86.34307703,32.36978576,,America/Chicago,N,,04/30/2015 00:00:00,N,2022-03-13T23:59:59,2022-04-11T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #13894,42985 State Hwy 75,Snead,AL,35952-6572,205-749-2722,-86.394957,34.120777,,America/Chicago,N,,02/01/2024 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #10046,149 Hayneville Plaza,Hayneville,AL,36040,334-777-0701,-86.576568,32.185037,,America/Chicago,N,,12/12/2013 00:00:00,N,2021-09-05T23:59:59,2021-09-16T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12548,1409 S Adams Street,Fulton,MS,38843,601-202-1869,-88.402725,34.251534,,America/Chicago,N,,07/18/2020 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #662,302 W Pushmataha St,Butler,AL,36904-2430,205-691-6000,-88.224438,32.089014,,America/Chicago,N,,12/08/1983 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #10659,3212 Mobile Highway,Montgomery,AL,36108,334-694-2515,-86.34055615,32.34344455,,America/Chicago,N,,09/01/2013 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #10956,225 S Jackson Street,Montgomery,AL,36104-4405,334-777-0703,-86.29593,32.374773,,America/Chicago,N,,07/03/2014 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #8414,210 W Fairview Ave,Montgomery,AL,36105-1804,334-777-0688,-86.31065,32.352174,,America/Chicago,N,,11/18/2010 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12707,511 W Monroe Avenue,Okolona,MS,38860,662-447-9000,-88.75647,34.001095,,America/Chicago,N,,03/26/2021 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,Y,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #10530,401 South Church Avenue,Louisville,MS,39339-2921,662-446-2780,-89.055632,33.119351,,America/Chicago,N,,06/12/2014 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #1633,2525 Madison Ave,Montgomery,AL,36107-2003,334-777-0684,-86.273765,32.381217,,America/Chicago,N,,02/23/1989 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #4280,820 W South Boulevard,Montgomery,AL,36105-3019,334-777-0345,-86.32478,32.327045,,America/Chicago,N,,08/24/2000 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12620,1734 Kowaliga Road,Eclectic,AL,36024,334-458-1506,-86.048504,32.652859,,America/Chicago,N,,10/29/2020 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #2182,2815 8th Street,Meridian,MS,39301-4845,601-286-6014,-88.70697219,32.36464375,,America/Chicago,N,,07/21/1993 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #13421,35 W Al Highway 144,Ohatchee,AL,36271-0000,256-330-7028,-86.038014,33.783273,,America/Chicago,N,,01/05/2023 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12356,1011 Perry Hill Road,Montgomery,AL,36109,334-245-6109,-86.24366,32.366314,,America/Chicago,N,,06/27/2019 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12428,3030 Mcgehee Road,Montgomery,AL,36111-2203,334-245-6113,-86.259735,32.337017,,America/Chicago,N,,08/30/2019 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12594,2423 Eastern Blvd,Montgomery,AL,36117,334-245-6058,-86.22002,32.349476,,America/Chicago,N,,10/10/2020 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12554,67 Watson Drive,Mantachie,MS,38855,601-203-3180,-88.490944,34.32084,,America/Chicago,N,,06/19/2020 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,Y,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #13628,3582 Highway 178,Mooreville,MS,38857,662-350-6488,-88.580106,34.266941,,America/Chicago,N,,06/01/2023 00:00:00,N,,,Y,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #2405,472 Highway 67 S,Priceville,AL,35603-6300,318-310-3002,-86.89315,34.52478,,America/Chicago,N,,07/27/1994 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12611,222 Mabus Street,Ackerman,MS,39735,662-270-6587,-89.177956,33.31788,,America/Chicago,N,,10/29/2020 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,Y,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #10844,800 E Main Street,Philadelphia,MS,39350,601-389-4005,-89.097684,32.771209,,America/Chicago,N,,04/24/2014 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Mississippi,Family Dollar,2024-06-05
