store_id,store_name,street,city,state,zip,latitude,longitude,phone,store_details,state_name,brand
801,W Mobile,755 Schillinger Rd S,Mobile,AL,36695,30.67502,-88.223339,(251)634-0351,/l/W-Mobile/AL/Mobile/36695/801,Alabama,Home Depot
802,Foley,2899 S Mckenzie St,Foley,AL,36535,30.37223,-87.680149,(251)955-2401,/l/Foley/AL/Foley/36535/802,Alabama,Home Depot
803,W Huntsville,4045 Lawson Ridge Dr,Madison,AL,35757,34.757374,-86.739203,(256)837-6658,/l/W-Huntsville/AL/Madison/35757/803,Alabama,Home Depot
804,N Huntsville,1035 Memorial Pkwy Nw,Huntsville,AL,35801,34.741719,-86.602831,(256)536-2216,/l/N-Huntsville/AL/Huntsville/35801/804,Alabama,Home Depot
805,Pelham,3191 Pelham Pkwy,Pelham,AL,35124,33.283392,-86.808892,(205)685-1837,/l/Pelham/AL/Pelham/35124/805,Alabama,Home Depot
806,Prattville,2710 Legends Parkway,Prattville,AL,36066,32.457138,-86.3996,(334)285-1693,/l/Prattville/AL/Prattville/36066/806,Alabama,Home Depot
808,Dothan,3489 Ross Clark Cir,Dothan,AL,36303,31.247217,-85.429362,(334)677-2790,/l/Dothan/AL/Dothan/36303/808,Alabama,Home Depot
809,Sylacauga,41310 Us Hwy 280,Sylacauga,AL,35150,33.172097,-86.288552,(256)245-4953,/l/Sylacauga/AL/Sylacauga/35150/809,Alabama,Home Depot
810,"Jasper,AL",1808 Hwy 78 E,Jasper,AL,35501,33.847065,-87.253274,(205)221-0367,/l/Jasper-AL/AL/Jasper/35501/810,Alabama,Home Depot
812,Scottsboro,24635 John T Reid Pkwy,Scottsboro,AL,35768,34.664623,-86.009766,(256)575-2100,/l/Scottsboro/AL/Scottsboro/35768/812,Alabama,Home Depot
813,E Montgomery,10655 Chantilly Pkwy,Montgomery,AL,36117,32.358044,-86.131129,(334)260-8702,/l/E-Montgomery/AL/Montgomery/36117/813,Alabama,Home Depot
816,Auburn (opelika),2190 Tigertown Parkway,Opelika,AL,36801,32.620843,-85.407729,(334)737-0136,/l/Auburn-opelika/AL/Opelika/36801/816,Alabama,Home Depot
