store_id,street,city,state,zip,phone,latitude,longitude,state_name
1334,5890 Trussville Crossings Blvd,Birmingham,AL,35235,(205) 661-3181,33.64502,-86.62655,Alabama
1335,70 Oxford Exchange Blvd,Oxford,AL,36203,(256) 832-1290,33.61004,-85.78258,Alabama
1338,10200 Eastern Shore Blvd,Spanish Fort,AL,36527,(251) 625-4025,30.66569,-87.84887,Alabama
1590,1241 Point Malard Parkway Bldg A,Decatur,AL,35601,(256) 301-4519,34.55864540590934,-86.96923623967285,Alabama
1652,2718 Legends Parkway,Prattville,AL,36066,(334) 285-1505,32.45868,-86.39959,Alabama
1725,100 S Colonial Drive Ste 1800,Alabaster,AL,35007,(205) 663-2389,33.22675071857488,-86.80479218531951,Alabama
2193,4925 Promenade Parkway,Bessemer,AL,35022,(205) 428-3437,33.33326,-86.98717,Alabama
1005,3500 Ross Clark Cir Ste 800,Dothan,AL,36303,(334) 678-1288,31.24595044661211,-85.4236142796234,Alabama
1053,6275 University Dr NW 35,Huntsville,AL,35806,(256) 922-0218,34.74547,-86.6826,Alabama
1115,2510 Berryhill Rd,Montgomery,AL,36117,(334) 244-7063,32.35955,-86.16277,Alabama
1127,3780 Riverchase Village Ste 3,Hoover,AL,35244,(205) 682-9556,33.37759452798141,-86.8006103214264,Alabama
1128,5025 Hwy 280 Ste 105,Birmingham,AL,35242,(205) 437-0254,33.42023,-86.68991,Alabama
2425,1320 McFarland Blvd E Bldg 600,Tuscaloosa,AL,35404,(205) 535-3067,33.20029131262517,-87.5251199772461,Alabama
3017,7765 Airport Blvd Ste 901,Mobile,AL,36608,(251) 287-9131,30.6813045,-88.22381159999998,Alabama
2462,1244 Cullman Shopping Center N,Cullman,AL,35055,(256) 841-3536,34.183232,-86.850267,Alabama
2471,7360 US Hwy 431 Ste 1,Albertville,AL,35950,(256) 660-3817,34.27916932739943,-86.20558638570554,Alabama
3102,107 Cox Creek Pkwy S.,Florence,AL,35630,(256) 712-3866,34.8296185,-87.62795460000001,Alabama
1096,2750 Carl T Jones Dr SE Ste 1,Huntsville,AL,35802,(256) 213-9773,34.67268588472247,-86.54122568122864,Alabama
2722,2498 S McKenzie St,Foley,AL,36535,(251) 677-6059,30.3794,-87.6832,Alabama
0634,3980-J Airport Blvd,Mobile,AL,36608,(251) 343-2227,30.67712808806718,-88.15163696231843,Alabama
3288,2805 DR John Haynes DR.,PELL CITY,AL,35125,(205) 473-3645,33.605083,-86.2774736,Alabama
3178,2495 Enterprise Dr,OPELIKA,AL,36801,(334) 363-3161,32.6206437,-85.40915669999998,Alabama
2093,1200 North Muldoon Road,Anchorage,AK,99506,(907) 333-7387,61.23099,-149.74189,Alaska
2130,601 E Dimond Blvd,Anchorage,AK,99515,(907) 522-7387,61.14548,-149.87076,Alaska
1864,4380 N. Miller Road,Scottsdale,AZ,85251,(480) 429-4519,33.49939,-111.91753,Arizona
1891,3699 Highway 95,#540,86442,Bullhead City,(928) 763-2829,35.05031,-114.58899,
0131,10825 N Tatum Blvd,Phoenix,AZ,85028,(480) 367-9680,33.58422,-111.97779,Arizona
0132,17035 N 7th Ave,Phoenix,AZ,85023,(602) 375-7939,33.64191,-112.08228,Arizona
