location_name,location_number,street,city,state_name,zip,phone,latitude,longitude,open_date,state,brand,updated
Concord Mills Outlet,1539,8010 Concord Mills Blvd,Concord,North Carolina,280274417,7049791130,35.370482,-80.715301,2002-04-08,NC,Olive Garden,2024-03-30
Mooresville,6438,438 Talbert Road,Mooresville,North Carolina,281178035,7042302619,35.58044474,-80.85334633,2020-01-27,NC,Olive Garden,2024-03-30
Hickory - Valley Crossing Shopping Center,1407,2261 Highway 70,Hickory,North Carolina,286025165,8283451015,35.703271,-81.295353,1993-09-06,NC,Olive Garden,2024-03-30
Monroe - The Park at Monroe,1861,2983 Monroe Way,Monroe,North Carolina,281107761,7042829900,35.02247273,-80.57969801,2011-01-17,NC,Olive Garden,2024-03-30
Statesville NC - Crossroads Shopping Center,6504,1175 Glenway Dr,Statesville,North Carolina,28625,7042525905,35.809599,-80.867416,2024-04-01,NC,Olive Garden,2024-03-30
Vernon Hills - Hawthorn Mall,1101,701 N Milwaukee Avenue,Vernon Hills,Illinois,600611556,8478160293,42.23948,-87.943823,1988-10-24,IL,Olive Garden,2024-03-30
Gurnee - Great America,1536,5590 Northridge Dr,Gurnee,Illinois,600314903,8473363628,42.37817,-87.940639,1992-01-08,IL,Olive Garden,2024-03-30
Arlington Heights,1154,630 East Rand Road,Arlington Heights,Illinois,600044004,8478188821,42.109301,-87.974342,1989-12-04,IL,Olive Garden,2024-03-30
McHenry,1784,3451 Shoppers Drive,McHenry,Illinois,600515408,8153446228,42.367176,-88.267031,2009-01-26,IL,Olive Garden,2024-03-30
Schaumburg - Woodfield Mall,1551,1925 East Golf Road,Schaumburg,Illinois,601735007,8476199095,42.050183,-88.032964,1991-08-12,IL,Olive Garden,2024-03-30
West Dundee - Spring Hill Mall,1156,800 North 8th St,West Dundee,Illinois,601181286,8474281981,42.102606,-88.289891,1989-08-28,IL,Olive Garden,2024-03-30
Pleasant Prairie - St Catherines,1845,10110 77th Street,Pleasant Prairie,Wisconsin,531581145,2626978233,42.56641094,-87.93094122,2010-09-27,WI,Olive Garden,2024-03-30
Bloomingdale - Stratford Square Mall,1099,332 W Army Trail Road,Bloomingdale,Illinois,601082681,6303077080,41.938523,-88.10734,1988-10-24,IL,Olive Garden,2024-03-30
Lincolnwood Town Center Mall,1291,3303 W Touhy Road,Lincolnwood,Illinois,607122716,8476794498,42.011046,-87.711988,1991-10-07,IL,Olive Garden,2024-03-30
Melrose Park,4470,1315 W North Ave,Melrose Park,Illinois,601601518,7086816172,41.90878419,-87.84847624,2013-12-16,IL,Olive Garden,2024-03-30
Baltimore MD - White Marsh,1505,8245 Perry Hall Blvd,Nottingham,Maryland,212365033,4109313316,39.377803,-76.471096,1995-12-04,MD,Olive Garden,2024-03-30
Easton - Maryland,1880,9017 Ocean Gateway,Easton,Maryland,216017195,4107639018,38.796698,-76.059219,2012-01-09,MD,Olive Garden,2024-03-30
Waldorf - St. Charles Mall,1469,3620 Crain Hwy,Waldorf,Maryland,206034810,3013749311,38.612743,-76.923409,1995-05-22,MD,Olive Garden,2024-03-30
Woodbridge - Virginia,1287,14405 Gideon Drive,Woodbridge,Virginia,221924634,7034913131,38.638601,-77.297028,1992-02-03,VA,Olive Garden,2024-03-30
Fort Wayne - Glenbrook Mall,1186,315 Coliseum Blvd W,Fort Wayne,Indiana,468051008,2604827804,41.117483,-85.144103,1989-12-11,IN,Olive Garden,2024-03-30
Lima,1514,1936 Roschman Ave,Lima,Ohio,458043444,4192227724,40.726264,-84.07461,1996-05-20,OH,Olive Garden,2024-03-30
Elkhart,1317,3003 Brittany Court,Elkhart,Indiana,465145553,5742661994,41.728224,-85.972557,1992-02-03,IN,Olive Garden,2024-03-30
Muncie - McGalliard Road,1401,304 W. McGalliard Rd.,Muncie,Indiana,473031107,7652870450,40.219497,-85.389397,1993-08-23,IN,Olive Garden,2024-03-30
Mishawaka - University Park Mall,1023,6410 Grape Road,Mishawaka,Indiana,465451103,5742776503,41.719001,-86.187116,1986-09-08,IN,Olive Garden,2024-03-30
Kokomo - Lafountain,1493,4015 S. Lafountain,Kokomo,Indiana,469026913,7654552038,40.438363,-86.128027,1995-04-10,IN,Olive Garden,2024-03-30
Anderson - Scatterfield Road,1510,4118 Scatterfield Rd.,Anderson,Indiana,460132627,7656429980,40.072786,-85.652194,1996-03-11,IN,Olive Garden,2024-03-30
Findlay,1647,15115 US 224 East,Findlay,Ohio,458408737,4194200052,41.055658,-83.589543,2005-02-14,OH,Olive Garden,2024-03-30
Portage - Crossroads Mall,1153,6700 Westnedge Ave S,Portage,Michigan,490023538,2693275001,42.220239,-85.590103,1989-07-31,MI,Olive Garden,2024-03-30
Toledo - S Reynolds Rd,1026,1919 S Reynolds Road,Toledo,Ohio,436141400,4193891982,41.605199,-83.664072,1986-09-15,OH,Olive Garden,2024-03-30
Amherst,1464,3951 Maple Rd.,Amherst,New York,142261043,7168375211,42.990435,-78.8163,1994-12-12,NY,Olive Garden,2024-03-30
Williamsville,1866,7700 Transit Road,Williamsville,New York,142216034,7165655423,42.97733003,-78.697621,2011-05-23,NY,Olive Garden,2024-03-30
Cheektowaga,1243,2011 Walden Avenue,Cheektowaga,New York,142255113,7166834670,42.908121,-78.762525,1991-10-28,NY,Olive Garden,2024-03-30
Niagara Falls,1875,1532 Military Road,Niagara Falls,New York,143041732,7162973818,43.093929,-78.972506,2011-09-19,NY,Olive Garden,2024-03-30
Blasdell - Buffalo,4490,3701 McKinley Parkway,Blasdell,New York,142192695,7168221275,42.787884,-78.810155,1992-02-24,NY,Olive Garden,2024-03-30
Rochester - Greece NY - Paddy Creek Circle,1420,100 Paddy Creek Circle,Rochester,New York,146152646,5858655610,43.205492,-77.672462,1993-11-15,NY,Olive Garden,2024-03-30
Rochester - Henrietta NY - Jefferson Rd,1196,532 Jefferson Road,Rochester,New York,146233228,5852920590,43.088113,-77.632347,1990-05-14,NY,Olive Garden,2024-03-30
Victor,1606,204 High Point Drive,Victor,New York,145641060,5852232040,43.027696,-77.438109,2007-09-03,NY,Olive Garden,2024-03-30
Lakewood - New York,4445,328 E Fairmount Ave,Lakewood,New York,147502006,7167630000,42.09850663,-79.30228919,2013-03-25,NY,Olive Garden,2024-03-30
Erie - Mill Creek Mall,1333,5945 Peach Street,Erie,Pennsylvania,165093439,8148661105,42.064051,-80.092813,1992-11-02,PA,Olive Garden,2024-03-30
Williamsburg,1515,2150 Richmond Rd.,Williamsburg,Virginia,231852756,7572599170,37.300063,-76.728446,1996-08-19,VA,Olive Garden,2024-03-30
Newport News,1601,12560 Jefferson Ave,Newport News,Virginia,236024314,7578337503,37.130938,-76.513275,2003-05-05,VA,Olive Garden,2024-03-30
Hampton,1485,1049 W. Mercury Blvd,Hampton,Virginia,236663308,7578258874,37.042329,-76.38254,1995-03-13,VA,Olive Garden,2024-03-30
Richmond - White Oak Village,1827,4467 S Laburnum Ave,Henrico,Virginia,232312419,8042260973,37.52636213,-77.35423483,2009-12-14,VA,Olive Garden,2024-03-30
Colonial Heights Mall,1732,600 Southpark Blvd,Colonial Heights,Virginia,238343627,8045207250,37.244642,-77.391109,2008-03-17,VA,Olive Garden,2024-03-30
Chesapeake Square Mall,1297,4117 Chesapeake Square Blvd,Chesapeake,Virginia,233212200,7574652139,36.824676,-76.410278,1991-12-02,VA,Olive Garden,2024-03-30
Norfolk - JANAF Shopping Center,1161,5920 East Va Beach Blvd,Norfolk,Virginia,235022402,7574555875,36.855884,-76.202754,1989-09-04,VA,Olive Garden,2024-03-30
Richmond - Glenside Drive,1230,7113 West Broad Street,Richmond,Virginia,232943703,8046726220,37.61203,-77.520795,1990-09-17,VA,Olive Garden,2024-03-30
Richmond - Midlothian Tpk,1240,9750 Midlothian Turnpike,Richmond,Virginia,232354973,8043307391,37.503767,-77.575352,1990-12-17,VA,Olive Garden,2024-03-30
Chesapeake - Greenbrier Mall,1198,1631 Ring Road,Chesapeake,Virginia,233202838,7574244758,36.776563,-76.229337,1990-03-05,VA,Olive Garden,2024-03-30
Cape Girardeau,1676,3259 William Street,Cape Girardeau,Missouri,637034961,5736514276,37.302017,-89.576571,2006-03-13,MO,Olive Garden,2024-03-30
Jonesboro,1824,1918 Red Wolf Blvd.,Jonesboro,Arkansas,724015452,8709720282,35.821632,-90.668207,2010-01-18,AR,Olive Garden,2024-03-30
Paducah - Kentucky Oaks Mall,1426,5150 Hinkleville Rd,Paducah,Kentucky,420019693,2704424190,37.074867,-88.689652,1993-11-08,KY,Olive Garden,2024-03-30
Marion - W Deyoung St,6492,2900 Joseph Cannon Way,Marion,Illinois,629594897,6189986213,37.74381,-88.97559,2023-11-13,IL,Olive Garden,2024-03-30
Memphis - Wolfchase Mall,1553,8405 US Highway 64,Memphis,Tennessee,381334111,9013773437,35.203863,-89.782729,2001-10-08,TN,Olive Garden,2024-03-30
Jackson - Columns,1652,1067 Vann Drive,Jackson,Tennessee,383052094,7316641330,35.6677826,-88.85906538,2005-02-07,TN,Olive Garden,2024-03-30
Fenton - Gravois Bluff,1786,140 Gravois Bluffs Circle,Fenton,Missouri,630267712,6363264969,38.505053,-90.444379,2008-11-17,MO,Olive Garden,2024-03-30
Memphis - Poplar Ave,1721,5679 Poplar Ave,Memphis,Tennessee,381193854,9017615711,35.104207,-89.872587,2007-06-25,TN,Olive Garden,2024-03-30
Affton - South County,1174,5529 S. Lindbergh,Affton,Missouri,631236932,3148492553,38.523688,-90.356811,1990-01-08,MO,Olive Garden,2024-03-30
Memphis - Winchester Rd,1612,7778 Winchester Road,Memphis,Tennessee,381252305,9016242003,35.049859,-89.804306,1988-02-29,TN,Olive Garden,2024-03-30
"Addison - Chicago, IL",4454,3555 West Addison St,Chicago,Illinois,606184202,7732502005,41.946229,-87.717162,2014-09-29,IL,Olive Garden,2024-03-30
North Riverside - Riverside Mall,1180,7513 W Cermak Road,North Riverside,Illinois,605461405,7084470666,41.849883,-87.809002,1990-05-21,IL,Olive Garden,2024-03-30
Burbank - Ford City Mall,1179,4801 W 77th,Burbank,Illinois,604591586,7086369555,41.753822,-87.742059,1989-09-25,IL,Olive Garden,2024-03-30
Lombard - Yorktown Center,6473,86 Yorktown Shopping Center,Lombard,Illinois,601485516,6303172561,41.8381672223125,-88.0043287444135,1988-03-28,IL,Olive Garden,2024-03-30
Lansing,1098,16601 N Torrence Ave,Lansing,Illinois,604381039,7088956110,41.593093,-87.558049,1988-06-20,IL,Olive Garden,2024-03-30
Orland Square Mall,1564,15215 South LaGrange Road,Orland Park,Illinois,604623978,7083649641,41.613621,-87.852726,2004-03-08,IL,Olive Garden,2024-03-30
Santa Ana,6402,2791 N Main Street,Santa Ana,California,927056008,7145640724,33.77437505,-117.86691987,1991-12-16,CA,Olive Garden,2024-03-30
Irvine,1267,3755 Alton Pkwy,Irvine,California,926068293,9492638692,33.682594,-117.814017,1991-07-29,CA,Olive Garden,2024-03-30
Orange - Village at Orange,1389,2330 N. Tustin St.,Orange,California,928653706,7149989092,33.829059,-117.836674,1993-07-05,CA,Olive Garden,2024-03-30
Huntington Beach,1653,16811 Beach Blvd,Huntington Beach,California,926474806,7148478874,33.718059,-117.989633,1986-07-21,CA,Olive Garden,2024-03-30
Laguna Woods,1299,24256 El Toro Road #1,Laguna Woods,California,926373488,9495831020,33.611068,-117.722478,1991-11-25,CA,Olive Garden,2024-03-30
Buena Park Downtown Shopping Mall,4463,8386 La Palma Ave,Buena Park,California,906203208,7142203943,33.8463694,-117.98794721,2013-07-08,CA,Olive Garden,2024-03-30
Brea Mall,1103,270 Brea Mall Way,Brea,California,928215703,7142551332,33.916838,-117.88318,1988-12-19,CA,Olive Garden,2024-03-30
Cypress CA - Katella Ave,1220,6874 Katella Avenue,Cypress,California,906305108,7148941330,33.802515,-118.012579,1990-08-06,CA,Olive Garden,2024-03-30
Chino Spectrum Towne Center,4491,3801 Grand Avenue,Chino,California,917105431,9095905465,33.99968,-117.72129,1991-05-20,CA,Olive Garden,2024-03-30
Spring Hill,1794,1098 Crossings Blvd,Spring Hill,Tennessee,371742777,9314861294,35.74303,-86.93957,2009-02-16,TN,Olive Garden,2024-03-30
Murfreesboro,1752,1710 Old Fort Parkway,Murfreesboro,Tennessee,371293351,6158481438,35.847051,-86.41815,2008-02-25,TN,Olive Garden,2024-03-30
Franklin,6417,1712 Galleria Blvd,Franklin,Tennessee,370676186,6157719707,35.96551045,-86.81090586,2019-03-18,TN,Olive Garden,2024-03-30
Antioch - Bell Road,1225,1131 Bell Road,Antioch,Tennessee,370133701,6157318431,36.045453,-86.664615,1990-10-15,TN,Olive Garden,2024-03-30
Mount Juliet - Providence,1751,401 South Mt. Juliet Road,Mount Juliet,Tennessee,371228545,6157586230,36.16711,-86.513482,2007-10-22,TN,Olive Garden,2024-03-30
Nashville - Opry Mills,6446,10 Opry Mills Dr.,Nashville,Tennessee,372142400,6152380531,36.19755682097108,-86.69017323290944,2023-09-18,TN,Olive Garden,2024-03-30
Huntsville - Alabama,1021,3730 University Dr NW,Huntsville,Alabama,358163140,2565391955,34.73579285,-86.6200825,1986-03-03,AL,Olive Garden,2024-03-30
Madison - Rivergate,1173,1711 Gallatin Road N,Madison,Tennessee,371152123,6158680790,36.295031,-86.700029,1989-09-04,TN,Olive Garden,2024-03-30
Decatur,4409,1102 Beltline Rd,Decatur,Alabama,356016546,2563061880,34.5627378,-86.976156,2012-06-18,AL,Olive Garden,2024-03-30
Florence - Alabama,1688,375 Cox Creek Parkway,Florence,Alabama,356301539,2567183337,34.840019,-87.637538,2006-05-22,AL,Olive Garden,2024-03-30
Carson CA - SouthBay Pavilion,4431,20532 Avalon Blvd,Carson,California,907463284,3102170409,33.84516707,-118.26381328,2012-10-29,CA,Olive Garden,2024-03-30
Myrtle Beach near Carolina Forest and Conway,4452,73 Rodeo Drive,Myrtle Beach,South Carolina,295799470,8439033630,33.74983078,-78.96146144,2013-04-29,SC,Olive Garden,2024-03-30
Myrtle Beach - Downtown,1326,1405 N. Kings Highway,Myrtle Beach,South Carolina,295773638,8436268856,33.698372,-78.877431,1992-03-16,SC,Olive Garden,2024-03-30
North Myrtle Beach - Barefoot Landing,1649,4701 Hwy 17 S,North Myrtle Beach,South Carolina,295825354,8432727530,33.79796,-78.73994,2005-01-31,SC,Olive Garden,2024-03-30
North Charleston - Northwoods Mall,1150,2156 North Woods Blvd,North Charleston,South Carolina,294064006,8437640200,32.942764,-80.041075,1989-06-19,SC,Olive Garden,2024-03-30
Florence - Magnolia Mall,1684,2901 W Radio Rd,Florence,South Carolina,295017804,8436698399,34.189028,-79.837076,2006-08-21,SC,Olive Garden,2024-03-30
Columbia SC - Sandhills,1623,10136-112 Two Notch Road,Columbia,South Carolina,292294399,8037883131,34.117491,-80.880568,1988-11-28,SC,Olive Garden,2024-03-30
Wilmington,1641,5307 Market Street,Wilmington,North Carolina,284053505,9107911587,34.245999,-77.874163,2007-03-05,NC,Olive Garden,2024-03-30
Columbia SC - Harbison,1231,274 Harbison Blvd,Columbia,South Carolina,292122232,8037320471,34.072197,-81.158498,1990-12-03,SC,Olive Garden,2024-03-30
Fayetteville NC - Near Fort Bragg,1201,234 N Mc Pherson Church Rd,Fayetteville,North Carolina,283034495,9108640119,35.07148,-78.951246,1990-02-26,NC,Olive Garden,2024-03-30
Bluffton,1883,1266 Fording Island Road,Bluffton,South Carolina,299106575,8437063808,32.24602,-80.83076,2012-01-09,SC,Olive Garden,2024-03-30
Tampa Palms,1548,17011 Palm Pointe Dr,Tampa,Florida,336473505,8138665253,28.117506,-82.381106,2002-04-15,FL,Olive Garden,2024-03-30
Lakeland Mall - US Highway 98,1033,3911 US Hwy 98 North,Lakeland,Florida,338093814,8638583876,28.09295,-81.973063,1987-03-16,FL,Olive Garden,2024-03-30
Lakeside Village - Harden Blvd,4432,1340 Lakeside Village Circle,Lakeland,Florida,338037951,8636889868,28.001091,-81.975808,2012-07-16,FL,Olive Garden,2024-03-30
Tampa - Busch Gardens,1025,2801 E Busch Blvd,Tampa,Florida,336128729,8139339194,28.032227,-82.428099,1986-08-18,FL,Olive Garden,2024-03-30
Brandon Mall,1124,2602 West Brandon Blvd,Brandon,Florida,335114721,8136855900,27.94056,-82.324632,1989-03-27,FL,Olive Garden,2024-03-30
Tampa - Citrus Park Mall,1541,8306 Citrus Park Dr.,Tampa,Florida,336253005,8139207475,28.065604,-82.574651,2001-03-05,FL,Olive Garden,2024-03-30
Tampa - Airport - Westshore,4480,1802 N Westshore Blvd,Tampa,Florida,336073907,8132866564,27.958006,-82.524487,2014-02-03,FL,Olive Garden,2024-03-30
Winter Haven,1169,405 Cypress Garden Blvd SE,Winter Haven,Florida,338804435,8632946641,28.004516,-81.721627,1989-08-14,FL,Olive Garden,2024-03-30
Port Richey,1149,9690 US Hwy 19,Port Richey,Florida,346684642,7278454510,28.298343,-82.705641,1989-04-10,FL,Olive Garden,2024-03-30
Clermont,1767,2495 S Highway 27,Clermont,Florida,347116876,3522420582,28.53639196,-81.73630707,2008-10-06,FL,Olive Garden,2024-03-30
