store_number,store_type,store_name,timezone,latitude,longitude,street,city,state,zip,phone,state_name
502,R,Fleming Island S/C,-5,30.1041,-81.7113,5000 US Highway 17 Ste 11,Fleming Island,FL,32003-8223,9042693600,Florida
1750,R,Pearl Britain Plaza,-5,29.22414,-82.100905,2655 NE 35th St,Ocala,FL,34479,3526201451,Florida
849,R,Riverside Mkt Sq,-5,30.311166,-81.68203,2033 Riverside Ave,Jacksonville,FL,32204-4442,9043818610,Florida
1844,R,Churchill Square,-5,29.173367,-82.132576,303 SE 17th St Unit 201,Ocala,FL,34471-4470,3528207005,Florida
1210,R,Hibernia Pavilion,-5,30.070022,-81.706069,865 Hibernia Rd Ste 200,Fleming Island,FL,32003-8707,9045291250,Florida
1291,R,Gunn Battle,-5,32.612388,-83.714478,6015 Watson Blvd,Byron,GA,31008-6650,4789717706,Georgia
686,R,Highland Square,-5,30.428101,-81.663811,1100 Dunn Ave Bldg 100,Jacksonville,FL,32218-4832,9047511445,Florida
61,R,Forty East S/C,-5,29.194359,-82.088267,3450 E Silver Springs Blvd,Ocala,FL,34470-6406,3526713443,Florida
1223,R,East San Marco,-5,30.304732,-81.652429,2039 Hendricks Ave Ste 325,Jacksonville,FL,32207,9043804445,Florida
1193,R,Sugarmill Woods,-5,28.723256,-82.551177,9525 S Suncoast Blvd,Homosassa,FL,34446-5034,3523821149,Florida
896,R,Shoppes of Navarre,-6,30.404024,-86.878334,8244 Navarre Pkwy,Navarre,FL,32566-6943,8505150999,Florida
1289,R,Park View Commons,-5,29.165538,-82.094256,3035 SE Maricamp Rd,Ocala,FL,34471-6201,3523512355,Florida
1792,R,Crossings at Wildlight,-5,30.621446,-81.639514,76010 William Burgess Blvd,Yulee,FL,32097,9048756184,Florida
1176,R,University Square,-5,30.261644,-81.629071,2875 University Blvd W,Jacksonville,FL,32217-2116,9044194807,Florida
1022,R,Mandarin Oaks,-5,30.166522,-81.633597,11406 San Jose Blvd,Jacksonville,FL,32223-7963,9042625258,Florida
1066,R,Publix Super Mkt,-5,30.186964,-81.62973,10500 San Jose Blvd Ste 36,Jacksonville,FL,32257-6209,9042886660,Florida
455,R,Camden Woods S/C,-5,30.784425,-81.633667,1601 Ga Highway 40 E,Kingsland,GA,31548-6500,9127297878,Georgia
19,R,Duval Station,-5,30.485511,-81.604885,731 Duval Station Rd Ste 4,Jacksonville,FL,32218-0804,9046963093,Florida
716,R,Julington Village,-5,30.119417,-81.626961,450 State Road 13 N Ste 109,Saint Johns,FL,32259-3861,9042303201,Florida
1283,R,Arlington River,-5,30.312278,-81.601754,5858 Atlantic Blvd,Jacksonville,FL,32207-2223,9047213410,Florida
1448,R,Plaza Inverness,-5,28.837386,-82.343372,1012 West Main Street,Inverness,FL,34450,3523412581,Florida
393,R,Old St Augustine,-5,30.17293,-81.606254,11250 St Augustine Rd Ste 4,Jacksonville,FL,32257-1147,9042625474,Florida
1771,R,Northpoint Village,-5,30.46269,-81.577087,12541 Yellow Bluff Rd,Jacksonville,FL,32226,9047571304,Florida
1177,R,Dames Pointe Plaza,-5,30.353603,-81.579119,7117 Merrill Rd,Jacksonville,FL,32277-2620,9047447983,Florida
1667,R,Shoppes at RiverTown,-5,30.05431,-81.613553,205 Rivertown Shops Dr,Saint Johns,FL,32259,9042301347,Florida
1084,R,Plantation Plaza,-5,30.112822,-81.590103,2750 Race Track Rd,Saint Johns,FL,32259-3227,9042303970,Florida
884,R,Deerwood Lake Comm,-5,30.268,-81.56073,4320 Deerwood Lake Pkwy,Jacksonville,FL,32216-1177,9046200599,Florida
1747,R,Belleview,-5,29.071306,-82.071292,10301 S US Hwy 441,Belleview,FL,34420,3523470186,Florida
733,R,Heather Island Plz,-5,29.116344,-82.027716,7578 SE Maricamp Rd Ste 100,Ocala,FL,34472,3526878200,Florida
589,R,Publix Plaza,-5,30.351022,-81.548828,9100 Merrill Rd,Jacksonville,FL,32225-4358,9047454260,Florida
177,R,Deerwood Village,-5,30.219333,-81.553027,9964 Old Baymeadows Rd,Jacksonville,FL,32256-8103,9046412435,Florida
1406,R,Villages of Amelia,-5,30.627926,-81.545529,463855 State Road 200,Yulee,FL,32097-3639,9042612400,Florida
1105,R,Bartram Park,-5,30.14044,-81.549579,13820 Old Saint Augustine Rd,Jacksonville,FL,32258-2448,9042625415,Florida
1125,R,St Johns Town Ctr,-5,30.264218,-81.526432,4413 Town Center Pkwy Ste 100,Jacksonville,FL,32246-8570,9045643632,Florida
727,R,Town and Country,-5,29.645637,-81.671555,171 Town and Country Dr,Palatka,FL,32177-3962,3863128305,Florida
1198,R,Glen Lakes,-5,28.570306,-82.559942,9595 Commercial Way,Weeki Wachee,FL,34613-3930,3525965081,Florida
708,R,Reedy Branch Comm,-5,30.213993,-81.518008,10920 Baymeadows Rd,Jacksonville,FL,32256-4570,9045383851,Florida
1468,R,Cobblestone Cr,-5,30.362016,-81.501231,2771 Monument Rd Ste 19,Jacksonville,FL,32225-3547,9045642448,Florida
1294,R,Hamilton Place,-6,32.585373,-85.436442,2415 Moores Mill Rd,Auburn,AL,36830-8480,3345028667,Alabama
1099,R,Johns Creek Ctr,-5,30.057174,-81.531394,2845 County Road 210 W,Saint Johns,FL,32259-2016,9042303939,Florida
1684,R,Bartram Market,-5,30.101651,-81.522749,155 Bartram Market Dr Ste 100,Saint Johns,FL,32259,9042606565,Florida
1842,R,eTown Exchange,-5,30.17251,-81.508594,11025 eTown Pkwy Unit 100,Jacksonville,FL,32256-5892,9049448971,Florida
644,R,Kernan Square,-5,30.285887,-81.487056,12620 Beach Blvd Ste 12,Jacksonville,FL,32246-7130,9045643580,Florida
457,R,Lakewood Plaza,-5,28.494044,-82.599722,4365 Commercial Way,Spring Hill,FL,34606-1917,3525978500,Florida
1822,R,Shops on Gay Street,-6,32.605694,-85.480189,138 S Gay St,Auburn,AL,36830,3345023616,Alabama
713,R,Windsor Commons,-5,30.254207,-81.464873,4765 Hodges Blvd,Jacksonville,FL,32224-5280,9042230554,Florida
1537,R,Tiger Point,-6,30.388467,-87.06163,1430 Tiger Park Ln,Gulf Breeze,FL,32563,8509325194,Florida
1807,R,Merganser Commons,-6,30.646804,-87.054631,5854 Dogwood Dr,Milton,FL,32570,8506262412,Florida
322,R,Island Walk S/C,-5,30.641247,-81.454304,1421 Sadler Rd,Fernandina Beach,FL,32034-4466,9042774911,Florida
1766,R,Shoppes at Beachwalk,-5,30.079607,-81.476864,835 CR 210 W,Saint Johns,FL,32259,9048243334,Florida
1871,R,Hernando West Plaza,-5,28.455603,-82.627098,1400 Pinehurst Dr,Spring Hill,FL,34606-4553,3526105005,Florida
4,R,Mulberry Grove S/C,-5,28.980031,-82.007235,8780 SE 165th Mulberry Ln,The Villages,FL,32162-5861,3527510301,Florida
1239,R,Shoppes/Murabella,-5,29.961047,-81.491171,84 Tuscan Way,Saint Augustine,FL,32092-1831,9049402889,Florida
1729,R,Parkway Village,-5,29.964464,-81.48823,170 Village Commons Dr,Saint Augustine,FL,32092-4545,9049403357,Florida
433,R,Intracoastal Plaza,-5,30.28545,-81.436508,14444 Beach Blvd Ste 6,Jacksonville,FL,32250-2010,9042230286,Florida
1355,R,Cary Creek S/C,-6,32.638223,-85.48016,2900 E University Dr,Auburn,AL,36830-7720,3345022416,Alabama
813,R,Mariner Commons,-5,28.491422,-82.540045,4158 Mariner Blvd,Spring Hill,FL,34609-2468,3526880161,Florida
1700,R,Tobesofkee,-5,32.835864,-83.743811,5581 Thomaston Rd,Macon,GA,31220,4784744918,Georgia
1080,R,Southern Trace Plz,-5,28.929573,-82.014189,3475 Wedgewood Ln,The Villages,FL,32162-7183,3527516280,Florida
1367,R,Seminole Shoppes,-5,30.322734,-81.404256,630 Atlantic Blvd,Neptune Beach,FL,32266-4000,9042410944,Florida
1753,R,Neptune Beach Plaza,-5,30.323061,-81.40263,580 Atlantic Blvd,Neptune Beach,FL,32266-4024,9042425197,Florida
1243,R,Nocatee Town Ctr,-5,30.110531,-81.419556,120 Marketside Ave,Ponte Vedra,FL,32081-0574,9048250263,Florida
1225,R,Santa Rosa Commons,-6,30.600899,-87.124368,4739 Highway 90,Pace,FL,32571-1403,8509944816,Florida
1140,R,Middle Bch Commons,-5,30.287563,-81.393184,408 Beach Blvd Ste 100,Jacksonville Beach,FL,32250-5482,9042491072,Florida
1756,R,Shops at Pike Road,-6,32.346352,-86.093236,9515 Vaughn Rd,Pike Road,AL,36064,3346945802,Alabama
552,R,South Beach Pkwy,-5,30.2536,-81.392161,670 Marsh Landing Pkwy,Jacksonville Beach,FL,32250-5850,9042737600,Florida
1132,R,Brooksville Square,-5,28.540548,-82.408555,19390 Cortez Blvd,Brooksville,FL,34601-3041,3527962926,Florida
1581,R,Spanish Plaines,-5,28.952354,-81.960917,1566 Bella Cruz Dr,The Villages,FL,32159,3527514346,Florida
630,R,Barclay Crossing,-5,28.480055,-82.486607,14371 Spring Hill Dr,Spring Hill,FL,34609-8199,3526662000,Florida
411,R,Seven Hills Plaza,-5,28.435624,-82.546981,160 Mariner Blvd,Spring Hill,FL,34609-5689,3526880977,Florida
1437,R,Sawgrass Village,-5,30.205534,-81.382742,220 Front Street,Ponte Vedra Beach,FL,32082,9042805440,Florida
487,R,Fairway Oaks Plaza,-5,28.357544,-82.664581,13752 Little Rd,Hudson,FL,34667-8024,7278611990,Florida
447,R,La Plaza Grande W,-5,28.939558,-81.947951,1120 Bichara Blvd,Lady Lake,FL,32159-7716,3527502400,Florida
1705,R,Trailwinds Village,-5,28.868296,-82.006858,5810 Seven Mile Dr,Wildwood,FL,34785,3523300542,Florida
1487,R,Grand Traverse,-5,28.844738,-82.027768,2925 Traverse Trl,The Villages,FL,32163-2017,3527501056,Florida
1028,R,Palm Valley,-5,30.150749,-81.375474,3777 Palm Valley Rd,Ponte Vedra,FL,32082-4115,9042736565,Florida
1189,R,Sea Shell,-6,30.359896,-87.164095,852 Gulf Breeze Pkwy,Gulf Breeze,FL,32561-4723,8509320113,Florida
431,R,Village/Glynn Pl,-5,31.21316,-81.48226,171 Village At Glynn Pl Ste 100,Brunswick,GA,31525-1988,9122614730,Georgia
1597,R,Tower Oaks Terrace,-5,28.332608,-82.668138,12101 Little Rd,Hudson,FL,34667,7278192013,Florida
1617,R,Palencia Commons,-5,30.012017,-81.389672,7462 US Hwy 1 N,Saint Augustine,FL,32095,9048263537,Florida
1282,R,Shoppes at Avalon,-5,28.435551,-82.491959,13455 County Line Rd,Spring Hill,FL,34609-6600,3527978027,Florida
1026,R,Cornerstone S/C,-6,32.33679,-86.182781,7700 Vaughn Rd,Montgomery,AL,36116-1337,3342904920,Alabama
1572,R,Five Points S/C,-6,30.639985,-87.180141,5580 Woodbine Rd,Pace,FL,32571,8509946552,Florida
1263,R,Bass Plantation,-5,32.924509,-83.735613,5451 Bowman Rd,Macon,GA,31210-5783,4784743064,Georgia
1155,R,Colony Plaza,-5,28.867034,-81.955226,327 Colony Blvd,The Villages,FL,32162-6084,3523911802,Florida
102,R,Golden Acres,-5,28.298421,-82.670144,9850 Little Rd,New Port Richey,FL,34654-3470,7278625866,Florida
767,R,Regency Crossing,-5,28.282651,-82.69825,7037 Ridge Rd,Port Richey,FL,34668-6849,7278443955,Florida
1522,R,East Hill S/C,-6,30.424089,-87.20385,1100 E Cervantes St,Pensacola,FL,32501,8504343469,Florida
1741,R,Magnolia Plaza,-5,28.800951,-82.006587,2135 Everglades Ln,The Villages,FL,32163,3524615096,Florida
1024,R,Taylor Junction,-6,32.381224,-86.171614,7076 Atlanta Hwy,Montgomery,AL,36117-4242,3342904501,Alabama
1316,R,N 9th Avenue,-6,30.47274,-87.214672,5055 N 9th Ave,Pensacola,FL,32504-8719,8504849646,Florida
1278,R,Mission Trace,-5,29.914627,-81.362284,955 State Road 16,Saint Augustine,FL,32084-1857,9048196518,Florida
1507,R,Lake Deaton Plaza,-5,28.825392,-81.966274,695 Kristine Way,The Villages,FL,32163,3522598244,Florida
1317,R,University Twn Ctr,-6,30.529601,-87.222632,9251 University Pkwy,Pensacola,FL,32514-5531,8504735000,Florida
1271,R,Hays Road Twn Ctr,-5,28.330981,-82.570792,14851 State Road 52,Hudson,FL,34669-4061,7278560293,Florida
1020,R,Southgate S/C,-5,28.23407,-82.730628,5127 US Highway 19,New Port Richey,FL,34652-3966,7278486521,Florida
1829,R,Treaty Oaks,-5,29.84054,-81.361659,250 Plaza Blvd,Saint Augustine,FL,32086-9304,9048089923,Florida
1027,R,Zelda Place,-6,32.355549,-86.26592,3026 Zelda Rd,Montgomery,AL,36106-2700,3342444481,Alabama
810,R,Riverwalk Cr,-5,28.273359,-82.627653,11400 Ridge Rd,New Port Richey,FL,34654-5310,7278484185,Florida
1025,R,Dalraida S/C,-6,32.383579,-86.24181,4045 Atlanta Hwy,Montgomery,AL,36109-2920,3342607782,Alabama
643,R,River Crossing,-5,28.237414,-82.66813,5324 Little Rd,New Port Richey,FL,34655-1294,7273755377,Florida
504,R,Holiday Centre,-5,28.199293,-82.737808,4701 Sunray Dr,Holiday,FL,34690-3808,7279443551,Florida
99,R,Cobblestone Plaza,-5,29.86603,-81.32784,125 Jenkins St,Saint Augustine,FL,32086-5167,9048080514,Florida
1530,R,Moultrie Square,-5,29.813576,-81.324614,4255 US 1 S,Saint Augustine,FL,32086-7046,9047971111,Florida
815,R,Palm Plaza,-5,28.819243,-81.889089,717 N 14th St,Leesburg,FL,34748-4205,3527874176,Florida
1231,R,Vilano Beach,-5,29.917641,-81.292837,55 Ava Way,Saint Augustine,FL,32084-2904,9048271448,Florida
1318,R,Bellview Plaza,-6,30.45982,-87.298589,5998 Mobile Hwy,Pensacola,FL,32526-1873,8509418101,Florida
873,R,Mitchell Ranch Plz,-5,28.203934,-82.66406,3100 Little Rd,Trinity,FL,34655-1864,7273751179,Florida
420,R,Chelsea Place,-5,28.179072,-82.697077,1346 Seven Springs Blvd,New Port Richey,FL,34655-5636,7273727400,Florida
1343,R,Nine Mile,-6,30.536034,-87.312287,2180 W Nine Mile Rd,Pensacola,FL,32534-9472,8504735020,Florida
144,R,Tarpon Mall,-5,28.143716,-82.742775,40932 US Highway 19 N,Tarpon Springs,FL,34689-5446,7279346535,Florida
336,R,Anastasia Plaza,-5,29.829506,-81.27202,1033 A1A Beach Blvd,Saint Augustine,FL,32080-6731,9044610231,Florida
1142,R,Arbor Sq/Connerton,-5,28.271763,-82.479063,7830 Land O Lakes Blvd,Land O Lakes,FL,34638-5701,8139963391,Florida
1513,R,Trinity Lakes,-5,28.189229,-82.608523,12500 SR 54,Odessa,FL,33556,7273755249,Florida
1611,R,Starkey Ranch,-5,28.196646,-82.590573,13589 SR 54,Odessa,FL,33556,8139261182,Florida
710,R,Lake Harris S/C,-5,28.749166,-81.879013,27615 US Highway 27 # U,Leesburg,FL,34748-9396,3527870440,Florida
1011,R,Crystal Beach,-5,28.095096,-82.771567,2886 Alternate US 19,Palm Harbor,FL,34683,7277817481,Florida
2010,R,Fort Toulouse,-6,32.511305,-86.215167,5039 US Hwy 231,Wetumpka,AL,36092,,Alabama
1340,R,Riviere Plaza,-5,28.094244,-82.738257,35439 US 19 N,Palm Harbor,FL,34684-1737,7277710892,Florida
1762,R,Shoppes of Lake Village,-5,28.82382,-81.78104,10601 US 441 Ste D,Leesburg,FL,34788,3523231420,Florida
1746,R,Nine Mile Crossing,-6,30.534131,-87.378929,8684 Beulah Rd,Pensacola,FL,32526,8509448833,Florida
1873,R,Merganser Commons,-5,33.035545,-85.060269,2200 Vernon St,Lagrange,GA,30240,7064437764,Georgia
497,R,Brooker Creek,-5,28.102357,-82.692616,36301 E Lake Rd,Palm Harbor,FL,34685-3200,7277855521,Florida
415,R,Coral Landings S/C,-5,28.075181,-82.737301,33343 US Highway 19 N,Palm Harbor,FL,34684-3128,7277891920,Florida
