store_number,store_name,street,city,state,zip,latitude,longitude,state_name,brand,updated
844,CHGO-26TH&KEDZIE,2609 S Kedzie Ave,Chicago,IL,60623-4731,41.843972,-87.704795,Illinois,McDonald's,2024-03-31
15705,CHGO CICERO-29TH,2827 S Cicero,Cicero,IL,60804,41.840618,-87.743264,Illinois,McDonald's,2024-03-31
6113,CHGO-GARF&MICHIG,70 E Garfield,Chicago,IL,60615-4613,41.795039,-87.622948,Illinois,McDonald's,2024-03-31
490,CHGO-103RD&KEDZI,10320 S Kedzie Ave,Chicago,IL,60655-2016,41.70573,-87.70162,Illinois,McDonald's,2024-03-31
5745,OAK LAWN-6034W95,6034 W 95th St,Oak Lawn,IL,60453-2734,41.72006,-87.771865,Illinois,McDonald's,2024-03-31
4655,CHGO-26TH&KOLIN,4334 West 26th Street,Chicago,IL,60623,41.844364,-87.732257,Illinois,McDonald's,2024-03-31
3173,CHGO-95TH&HALSTD,9560 S Halsted Street,Chicago,IL,60628-1028,41.720045,-87.643617,Illinois,McDonald's,2024-03-31
26673,BRIDGEVW-87TH/HA,8611 S Harlem Avenue,Bridgeview,IL,60455,41.734376,-87.798351,Illinois,McDonald's,2024-03-31
24911,CHGO 79TH,7900 S Martin Luther King Dr,Chicago,IL,60619,41.750948,-87.61543,Illinois,McDonald's,2024-03-31
7631,OAK LWN-105TH&CI,10533 S Cicero,Oak Lawn,IL,60453-5273,41.700833,-87.739532,Illinois,McDonald's,2024-03-31
6337,CHGO-87TH&WABASH,29 E 87th St,Chicago,IL,60619-6603,41.736147,-87.622978,Illinois,McDonald's,2024-03-31
5702,CHGO-CERMAK&WEST,2438 W Cermak,Chicago,IL,60623,41.852269,-87.687428,Illinois,McDonald's,2024-03-31
17974,CHGO-31ST&HALSTD,3020 S Halsted St,Chicago,IL,60608,41.83897,-87.64679,Illinois,McDonald's,2024-03-31
36242,BERWYN RELO,7031 Ogden Ave,Berwyn,IL,60402,41.825233,-87.799507,Illinois,McDonald's,2024-03-31
5452,BRIDGVW-79TH&ROB,7920 West 79th St,Bridgeview,IL,60455,41.747994,-87.817401,Illinois,McDonald's,2024-03-31
3002,CICERO 550,5500 W Cermak Rd,Cicero,IL,60804,41.851363,-87.761406,Illinois,McDonald's,2024-03-31
7050,CHGO-47TH&COTTAG,740 E 47th St,Chicago,IL,60653,41.809867,-87.607124,Illinois,McDonald's,2024-03-31
25000,CHGO-35TH&INDIAN,207 E 35th St,Chicago,IL,60653,41.830839,-87.621177,Illinois,McDonald's,2024-03-31
5496,LYONS-7850 OGDEN,7850 Ogden Ave,Lyons,IL,60534,41.820257,-87.818355,Illinois,McDonald's,2024-03-31
7466,CHGO-KEDZIE&ROOS,3200 W Roosevelt,Chicago,IL,60624-4332,41.866664,-87.706172,Illinois,McDonald's,2024-03-31
33519,"HICKORY HILLS, I",7620 W 95th St,Hickory Hills,IL,60457,41.719094,-87.810009,Illinois,McDonald's,2024-03-31
13087,CHGO-18TH&BLUE I,1664 S Blue Island,Chicago,IL,60608,41.858474,-87.660954,Illinois,McDonald's,2024-03-31
5947,RIDGELAND/BERWYN,6401 Cermak Rd,Berwyn,IL,60402-2309,41.850304,-87.784209,Illinois,McDonald's,2024-03-31
37872,ROOSEVELT AND OG,2315 W. Ogden Ave,Chicago,IL,60608,41.865454,-87.684546,Illinois,McDonald's,2024-03-31
29,CHGO-STONY ISLND,6560 S Stoney Island Ave,Chicago,IL,60637,41.775364,-87.586815,Illinois,McDonald's,2024-03-31
27672,CHICAGO-1320 E.,5200 S Lake Park,Chicago,IL,60615,41.80088,-87.588089,Illinois,McDonald's,2024-03-31
3902,ALSIP-119TH&PULA,11850 South Pulaski Avenue,Alsip,IL,60803,41.677105,-87.7202,Illinois,McDonald's,2024-03-31
26362,CHGO-ROO&CENT PK,5624 W Roosevelt Rd,Chicago,IL,60644,41.865823,-87.765356,Illinois,McDonald's,2024-03-31
897,CHGO-87TH&BLCKST,1443 E 87th St,Chicago,IL,60619-6546,41.736593,-87.588902,Illinois,McDonald's,2024-03-31
415,BLUE ISLD-WESTRN,11920 S Western Ave,Blue Island,IL,60406-1117,41.676854,-87.681036,Illinois,McDonald's,2024-03-31
6928,HARLEM/CERMAK/BE,7181 W Cermak Rd,Berwyn,IL,60402-2103,41.850084,-87.803186,Illinois,McDonald's,2024-03-31
5708,CHGO 25TH,2525 S Martin Luther King Dr,Chicago,IL,60616,41.847136,-87.616806,Illinois,McDonald's,2024-03-31
5472,CHGO-114TH,11421 S Halsted,Chicago,IL,60628-5201,41.686614,-87.64194,Illinois,McDonald's,2024-03-31
6818,CHGO-WESTRN&WARR,23 N Western Avenue,Chicago,IL,60612-2200,41.881901,-87.686023,Illinois,McDonald's,2024-03-31
10192,CHGO-MADIS,5015 W Madison,Chicago,IL,60644,41.880179,-87.750711,Illinois,McDonald's,2024-03-31
3796,PALOS HLS-111TH,11050 Southwest Hwy,Palos Hills,IL,60465-2322,41.6904,-87.810008,Illinois,McDonald's,2024-03-31
240,CHGO-79TH&YATES,2425 E 79th St,Chicago,IL,60649,41.751366,-87.565351,Illinois,McDonald's,2024-03-31
401,ROOSEVELT/BERWYN,7135 W Roosevelt Rd,Berwyn,IL,60402,41.864685,-87.803293,Illinois,McDonald's,2024-03-31
6193,CHGO-95TH&JEFFRY,1951 E 95th St,Chicago,IL,60617,41.722103,-87.575781,Illinois,McDonald's,2024-03-31
715,OAK PARK-MADISON,111 W Madison St,Oak Park,IL,60302-4205,41.879783,-87.777934,Illinois,McDonald's,2024-03-31
4971,COUNTRYSIDE-LAGR,5701 S Lagrange Rd,Countryside,IL,60525-4063,41.786487,-87.868133,Illinois,McDonald's,2024-03-31
33426,CHICAGO - LAKE A,1380 W Lake Street,Chicago,IL,60607,41.885668,-87.661942,Illinois,McDonald's,2024-03-31
13838,CHGO-UNION STATN,225 S CANAL ST (Union Station),Chicago,IL,60606,41.878745,-87.639122,Illinois,McDonald's,2024-03-31
39148,GLOBAL HEADQUART,1035 W Randolph,Chicago,IL,60607,41.884084,-87.653335,Illinois,McDonald's,2024-03-31
7854,CAL PK-127TH&ASH,12700 S Ashland,Calumet Park,IL,60827,41.662578,-87.661489,Illinois,McDonald's,2024-03-31
5246,CHGO-115TH&STLAW,600 E 115th St,Chicago,IL,60628-5702,41.6857,-87.607639,Illinois,McDonald's,2024-03-31
20104,CHGO-JACKS&LASAL,111 W Jackson,Chicago,IL,60604,41.877966,-87.631736,Illinois,McDonald's,2024-03-31
4061,CHGO-ADAMS&WELLS,180 W Adams,Chicago,IL,60603-3602,41.879502,-87.633621,Illinois,McDonald's,2024-03-31
31049,BANK ONE,23 S Clark,Chicago,IL,60603,41.88095,-87.630609,Illinois,McDonald's,2024-03-31
7788,CHGO-CHGO&DAMEN,2005 W Chicago Ave,Chicago,IL,60622-5549,41.895658,-87.677568,Illinois,McDonald's,2024-03-31
5026,CHGO 5153 W CHGO,5153 W Chicago Ave,Chicago,IL,60651-2904,41.894652,-87.755379,Illinois,McDonald's,2024-03-31
19621,LAGRANGE-OGD&LAG,100 N La Grange Rd,La Grange,IL,60525,41.818487,-87.870278,Illinois,McDonald's,2024-03-31
36148,CHGO-203 N LSLLE,203 N Lasalle St,Chicago,IL,60601,41.885816,-87.631667,Illinois,McDonald's,2024-03-31
30930,CHGO-MILLENNIUM,119 North Wabash,Chicago,IL,60602,41.883662,-87.626041,Illinois,McDonald's,2024-03-31
16136,17TH & CERMAK,6200 Broadview Village Square,Broadview,IL,60155,41.850458,-87.851813,Illinois,McDonald's,2024-03-31
600,FOREST PK-DESPLN,420 Des Plaines Ave,Forest Park,IL,60130,41.879081,-87.813542,Illinois,McDonald's,2024-03-31
1786,PALOS HTS-127TH,7100 W 127th St,Palos Heights,IL,60463,41.661317,-87.793731,Illinois,McDonald's,2024-03-31
10164,CHGO-92ND&COMMER,9211 S Commercial,Chicago,IL,60617-4509,41.727768,-87.550869,Illinois,McDonald's,2024-03-31
35226,MAYWOOD,507 Roosevelt Road,Maywood,IL,60153,41.864591,-87.838843,Illinois,McDonald's,2024-03-31
25088,CHGO TWO I,233 N Michigan,Chicago,IL,60601,41.887104,-87.623222,Illinois,McDonald's,2024-03-31
5714,CRESTWD-137TH&CI,13630 S Cicero Ave,Crestwood,IL,60418-1937,41.644267,-87.738599,Illinois,McDonald's,2024-03-31
6676,CHGO-CLARK&OHIO,600 N Clark,Chicago,IL,60610-3702,41.89287,-87.631553,Illinois,McDonald's,2024-03-31
29307,NORTH AND KEDZIE,3245 W North Avenue,Chicago,IL,60641,41.909858,-87.708259,Illinois,McDonald's,2024-03-31
6749,RVR FOREST-HARLM,626 N Harlem,River Forest,IL,60305-1933,41.891692,-87.805432,Illinois,McDonald's,2024-03-31
5471,CHGO-GRND&KSTNR,4338 W North Ave,Chicago,IL,60639-4855,41.9101,-87.735544,Illinois,McDonald's,2024-03-31
3661,CHGO-CHGO&STATE,10 E Chicago Ave,Chicago,IL,60611-2009,41.896974,-87.62766,Illinois,McDonald's,2024-03-31
3518,LARAMIE,5133 W North Ave,Chicago,IL,60639-4435,41.909217,-87.755165,Illinois,McDonald's,2024-03-31
7690,CHGO-MCCLURG&ERI,645 N Mcclurg Ct,Chicago,IL,60611-3000,41.893979,-87.617628,Illinois,McDonald's,2024-03-31
15921,CHGO-NAVY PIER,600 E GRAND AVE (Navy Pier),Chicago,IL,60611,41.891668,-87.608894,Illinois,McDonald's,2024-03-31
6771,CHGO-WESTRN&ARMI,1951 N Western Ave,Chicago,IL,60647-4331,41.91711,-87.687046,Illinois,McDonald's,2024-03-31
17754,SATELLITE/NATL S,40-12 National St,Corona,NY,11368,40.749525,-73.863008,New York,McDonald's,2024-03-31
2758,QUEENS-JUNCTION,37-19 Junction Blvd,Corona,NY,11368,40.751065,-73.870372,New York,McDonald's,2024-03-31
12449,JACKSON HE,37-59 82nd St,Jackson Heights,NY,11372,40.748062,-73.883865,New York,McDonald's,2024-03-31
2300,FLUSHING-MAIN,40-18 Main Street,Flushing,NY,11354,40.759056,-73.830133,New York,McDonald's,2024-03-31
2293,ELMHURST-QUEENS,80-03 Queens Blvd,Elmhurst,NY,11373,40.738327,-73.883179,New York,McDonald's,2024-03-31
1159,QUEENS-ASTORIA,88-05 Astoria Blvd,East Elmhurst,NY,11369,40.764374,-73.880943,New York,McDonald's,2024-03-31
3063,QUEENS-STRATTON,3001 Stratton St,Flushing,NY,11354,40.770061,-73.834373,New York,McDonald's,2024-03-31
1898,FOREST HILS-71ST,106-15 71st Ave,Forest Hills,NY,11375,40.719994,-73.8451,New York,McDonald's,2024-03-31
23107,20TH WHITE,138-11 20th Ave,College Point,NY,11356,40.782024,-73.829987,New York,McDonald's,2024-03-31
3222,QUEENS-98-01METR,98-01 Metropolitan Ave,Forest Hills,NY,11375,40.711269,-73.854439,New York,McDonald's,2024-03-31
3162,KISSENA QUEENS,72-69 Kissena Blvd,Flushing,NY,11367,40.727467,-73.812401,New York,McDonald's,2024-03-31
12266,WOODSIDE,51-35 Northern Blvd,Woodside,NY,11377,40.75348,-73.908358,New York,McDonald's,2024-03-31
15315,BORDEN/MASPETH,59-60 55th Road,Maspeth,NY,11378,40.726299,-73.9067,New York,McDonald's,2024-03-31
3025,QUEENS-STEINWAY,31-67 Steinway St,Astoria,NY,11103,40.759495,-73.918343,New York,McDonald's,2024-03-31
2892,QUEENS-31ST DITM,22 50 31st St,Astoria,NY,11105,40.77512,-73.912183,New York,McDonald's,2024-03-31
2120,FLUSHING-WILLETS,160-11 Willets Point Blvd,Whitestone,NY,11357,40.780651,-73.802307,New York,McDonald's,2024-03-31
3344,QUEENS-COOPER,70-02 Cooper Ave,Glendale,NY,11385,40.701706,-73.880272,New York,McDonald's,2024-03-31
2955,QUEENS LNGISCITY,3802 Queens Blvd,Long Island City,NY,11101,40.74366,-73.926903,New York,McDonald's,2024-03-31
2179,L.I.CITY-31ST,32-55 31st St,Long Island City,NY,11106,40.760616,-73.926186,New York,McDonald's,2024-03-31
2240,METROPOLITAN QNS,54-29 Metropolitan Ave,Ridgewood,NY,11385,40.713337,-73.909698,New York,McDonald's,2024-03-31
15269,91-01 JAMAICA,91-01 Jamaica Avenue,Woodhaven,NY,11421,40.693196,-73.853741,New York,McDonald's,2024-03-31
1825,138-32 JAMIACA,138-32 Jamiaca Ave,Jamaica,NY,11435,40.702316,-73.814293,New York,McDonald's,2024-03-31
11468,NY-BAYSIDE,203-11 Northern Blvd,Bayside,NY,11361,40.757866,-73.779793,New York,McDonald's,2024-03-31
22628,"21ST ST, LIC",31-46 21st St,Long Island City,NY,11106,40.766312,-73.930984,New York,McDonald's,2024-03-31
10482,159-01 JAMAICA,159-01 Jamaica Avenue,Jamaica,NY,11432,40.703579,-73.800079,New York,McDonald's,2024-03-31
2478,RIDGEWOOD-MYRTLE,54-04 Myrtle Ave,Ridgewood,NY,11385,40.699519,-73.910468,New York,McDonald's,2024-03-31
11596,JAMAICA/HILLSIDE,181-25 Hillside Avenue,Jamaica,NY,11432,40.713558,-73.781204,New York,McDonald's,2024-03-31
12938,LIBERTY AVE,119-05 Liberty Ave,South Richmond Hill,NY,11419,40.686474,-73.823948,New York,McDonald's,2024-03-31
20604,428 KNICKERBOCKE,428 Knickerbocker Ave,Brooklyn,NY,11237,40.699417,-73.919655,New York,McDonald's,2024-03-31
23533,"MEEKER,BKLYNLYN",652 Meeker Ave,Brooklyn,NY,11222,40.72208,-73.940483,New York,McDonald's,2024-03-31
2659,OZONE PARK-101ST,75-15 Liberty Ave,Ozone Park,NY,11416,40.679531,-73.861717,New York,McDonald's,2024-03-31
35598,K-ATLANTIC,3143 Atlantic Ave,Brooklyn,NY,11208-1937,40.679871,-73.879116,New York,McDonald's,2024-03-31
11139,BRONX - GARRISON,875 Garrison Ave,Bronx,NY,10474,40.816971,-73.892563,New York,McDonald's,2024-03-31
4234,BRONX 1600 BRUC,1600 Bruckner Blvd,Bronx,NY,10473,40.82338,-73.874687,New York,McDonald's,2024-03-31
35813,SOUTHERN CROSSIN,925 Hunts Point Blvd,Bronx,NY,10474,40.820564,-73.890866,New York,McDonald's,2024-03-31
11012,GRAND ST BRKLYN,741 Grand St,Brooklyn,NY,11211,40.711849,-73.943154,New York,McDonald's,2024-03-31
2686,BRUCKNER 1,1865 Bruckner Blvd,Bronx,NY,10472,40.826378,-73.861679,New York,McDonald's,2024-03-31
2678,GRNPOINT-MANHTN,904 Manhattan Ave,Brooklyn,NY,11222,40.730389,-73.954109,New York,McDonald's,2024-03-31
16765,HOLLIS,204-11 Hillside Ave,Hollis,NY,11423,40.720814,-73.761147,New York,McDonald's,2024-03-31
24739,1871 SECOND AVEN,1871 2nd Ave,New York,NY,10029,40.784657,-73.947028,New York,McDonald's,2024-03-31
5632,BRONX-85 BRUCKNR,85 Bruckner Blvd,Bronx,NY,10454,40.80632,-73.925667,New York,McDonald's,2024-03-31
3839,BROOKLYN-ATLANTC,2800 Atlantic Ave,Brooklyn,NY,11207-2628,40.676235,-73.890678,New York,McDonald's,2024-03-31
29500,839 WESTCHESTER,839 Westchester Avenue,New York,NY,10455,40.819665,-73.901987,New York,McDonald's,2024-03-31
14780,1ST & 69TH,1286 1st Ave,New York,NY,10021,40.765888,-73.957161,New York,McDonald's,2024-03-31
27377,1366 BROADWAY- B,1380 Broadway,Brooklyn,NY,11221,40.689106,-73.921887,New York,McDonald's,2024-03-31
25056,15 SHEFFIELD AVE,15 Jamaica Ave,Brooklyn,NY,11207,40.677548,-73.897746,New York,McDonald's,2024-03-31
1170,QUEENS-STUPHIN,114-01 Sutphin Blvd,Jamaica,NY,11434,40.686165,-73.793312,New York,McDonald's,2024-03-31
3364,NYC-1872 3RD AVE,1872 3rd Ave,New York,NY,10029,40.789984,-73.946077,New York,McDonald's,2024-03-31
2595,BROOKLYN-LINDEN,2797 Linden Blvd,Brooklyn,NY,11208,40.670147,-73.860352,New York,McDonald's,2024-03-31
2814,MANHATTAN-84 & 3,1499 3rd Ave,New York,NY,10028,40.777789,-73.954515,New York,McDonald's,2024-03-31
4825,MANHATTAN-3RD AV,2142 3rd Ave,New York,NY,10027,40.798618,-73.939789,New York,McDonald's,2024-03-31
3366,BRONX-WESTCHESTR,1540 Westchester Ave,Bronx,NY,10472,40.82851,-73.878052,New York,McDonald's,2024-03-31
5684,BRNX-3RD&149TH,2870 3rd Ave,Bronx,NY,10451,40.816261,-73.917053,New York,McDonald's,2024-03-31
3080,BRONX-TREMONT,3660 E Tremont Ave,Bronx,NY,10465,40.827599,-73.823677,New York,McDonald's,2024-03-31
3375,BROOKLYN-700BDWY,700 Broadway,Brooklyn,NY,11206,40.701332,-73.943489,New York,McDonald's,2024-03-31
2938,BRONX-WESTCHSTR,1982 Westchester Avenue,Bronx,NY,10462,40.833219,-73.858545,New York,McDonald's,2024-03-31
33242,279 E. 149TH ST.,279 E 149th St,Bronx,NY,10451,40.81743,-73.922245,New York,McDonald's,2024-03-31
2663,MANHATTAN-58 & 3,966 3rd Ave,New York,NY,10022,40.760838,-73.967323,New York,McDonald's,2024-03-31
21652,3279 THIRD AVE,3279 3rd Avenue,Bronx,NY,10456,40.825195,-73.908607,New York,McDonald's,2024-03-31
1065,QUEENS-SPRINGFLD,88-14 Springfield Blvd,Queens Village,NY,11427,40.729198,-73.744415,New York,McDonald's,2024-03-31
17631,824 THIRD AVE,824 3rd Avenue 50th St,New York,NY,10022,40.756163,-73.970751,New York,McDonald's,2024-03-31
21402,267 BDWY BRKLYN,267 Broadway,Brooklyn,NY,11211,40.70893,-73.959017,New York,McDonald's,2024-03-31
28112,1883-1887 ATLANT,1883 Atlantic Avenue,Brooklyn,NY,11207,40.677324,-73.922554,New York,McDonald's,2024-03-31
13508,GRAND CONCOURSE,597-99 Grand Concourse,Bronx,NY,10451,40.819809,-73.927055,New York,McDonald's,2024-03-31
20769,1600 BOSTON RD,1600 Boston Rd,Bronx,NY,10460,40.835464,-73.890648,New York,McDonald's,2024-03-31
3660,NYC-LENOX,444 Lenox Ave,New York,NY,10030,40.812233,-73.94178,New York,McDonald's,2024-03-31
4027,BROOKLYN-PITKIN,1642 Pitkin Ave,Brooklyn,NY,11212,40.669307,-73.912406,New York,McDonald's,2024-03-31
37347,WESTCHESTER SQUA,16 Westchester Square,New York,NY,10461,40.840374,-73.843681,New York,McDonald's,2024-03-31
35741,125TH   7T,148 W 125th Street,New York,NY,10029,40.808569,-73.947756,New York,McDonald's,2024-03-31
19855,BAISLEY BLVD/166,166-01 Baisley Boulevard,Jamaica,NY,11434,40.680161,-73.77726,New York,McDonald's,2024-03-31
1172,LITTLE NECK,250-01 Northern Blvd,Little Neck,NY,11363,40.768887,-73.737518,New York,McDonald's,2024-03-31
14518,EAST TREMONT,1101 E Tremont Ave,Bronx,NY,10460,40.840401,-73.876884,New York,McDonald's,2024-03-31
1852,HOWARD BCH-CROSS,159-40 Cross Bay Blvd,Howard Beach,NY,11414,40.657803,-73.839958,New York,McDonald's,2024-03-31
7552,MANHATTAN-47 ST,14 E 47th St,Manhattan,NY,10017,40.756223,-73.977799,New York,McDonald's,2024-03-31
2813,NW YORK-3RD AVE,480 3rd Ave,New York,NY,10016,40.744904,-73.978949,New York,McDonald's,2024-03-31
17630,ADAM CLAYTON,2379 Adam Clayton Powell Jr Blvd,New York,NY,10030,40.817932,-73.94136,New York,McDonald's,2024-03-31
2241,MANHATTAN-23RD,336 E 23rd St,New York,NY,10010,40.736945,-73.979165,New York,McDonald's,2024-03-31
5016,BRONX-161ST ST.,51-67 E 161st St,Bronx,NY,10451,40.827963,-73.92535,New York,McDonald's,2024-03-31
25696,18 EAST 42ND STR,18 E 42nd St,New York,NY,10017,40.753042,-73.98028,New York,McDonald's,2024-03-31
4346,BROOKLYN-FULTON,1531 Fulton St,Brooklyn,NY,11216,40.680096,-73.940102,New York,McDonald's,2024-03-31
2885,BRONX-WILLMSBRDG,1515 Williamsbridge Rd,Bronx,NY,10461,40.844517,-73.846611,New York,McDonald's,2024-03-31
