storeNumber,facilityType,phone,name,region,company,street,city,state,postalCode,country,open_date,latitude,longitude,state_name
328,NIKE_OWNED_STORE,15628000137,Nike Well Collective - Long Beach,NORTH_AMERICA,Nike,6440 E. Pacific Coast Hwy #130,Long Beach,CA,90803-4268,USA,2019-11-01,33.756586,-118.110287,California
250,NIKE_OWNED_STORE,16612847679,Nike Clearance Store - Santa Clarita,NORTH_AMERICA,Nike,Valencia Marketplace,Valencia,CA,91381-1707,USA,2017-08-31,34.38716,-118.570637,California
189,NIKE_OWNED_STORE,17144569172,Nike Factory Store - Orange,NORTH_AMERICA,Nike,Outlets at Orange,Orange,CA,92868-3102,USA,2008-09-10,33.78451,-117.892805,California
303,NIKE_OWNED_STORE,17144360203,Nike South Coast Plaza,NORTH_AMERICA,Nike,South Coast Plaza,Costa Mesa,CA,92626-1791,USA,2004-07-28,33.692559,-117.892834,California
64,NIKE_OWNED_STORE,18053844480,Nike Factory Store - Camarillo,NORTH_AMERICA,Nike,Camarillo Premium Outlets,Camarillo,CA,93010-7748,USA,1998-10-03,34.215963,-119.057244,California
480,NIKE_OWNED_STORE,19513947004,Nike Well Collective - Irvine,NORTH_AMERICA,Nike,670 Spectrum Center Dr. STE 880,Irvine,CA,92618-4956,USA,2023-06-22,33.6499644,-117.7436901,California
110,NIKE_OWNED_STORE,19099802448,Nike Factory Store - Ontario,NORTH_AMERICA,Nike,Ontario Mills,Ontario,CA,91764-5220,USA,2001-10-26,34.074062,-117.55177,California
595,NIKE_OWNED_STORE,19093614184,Nike Well Collective - Rancho Cucamonga,NORTH_AMERICA,Nike,"12431 S Mainstreet, Suite 1220",Rancho Cucamonga,CA,91739-8883,USA,2023-10-05,34.1107,-117.534121,California
200,NIKE_OWNED_STORE,+1 (949) 498-2138,Nike Factory Store - San Clemente,NORTH_AMERICA,Nike,Plaza San Clemente,San Clemente,CA,92672,USA,2018-01-01,33.438522,-117.626883,California
247,NIKE_OWNED_STORE,19093078903,Nike Factory Store - Redlands,NORTH_AMERICA,Nike,Mountain Grove at Citrus Plaza,Redlands,CA,92374-5046,USA,2017-03-30,34.076247,-117.2027,California
209,NIKE_OWNED_STORE,16618582151,Nike Factory Store - Tejon Ranch,NORTH_AMERICA,Nike,Tejon Ranch,Arvin,CA,93203-2458,USA,2014-08-07,34.984494,-118.941877,California
232,NIKE_OWNED_STORE,+1 (760) 929-0146,Nike Unite - Carlsbad,NORTH_AMERICA,Nike,Carlsbad Premium Outlets,Carlsbad,CA,92008,USA,2018-01-01,33.125323,-117.320206,California
38,NIKE_OWNED_STORE,19518490466,Nike Factory Store - Cabazon,NORTH_AMERICA,Nike,Desert Hills Premium Outlets,Cabazon,CA,92230-2116,USA,1990-10-05,33.92675,-116.813069,California
477,NIKE_OWNED_STORE,17604940249,Nike Well Collective - La Costa,NORTH_AMERICA,Nike,"1905 Calle Barcelona, Suite 12",Carlsbad,CA,92009-8450,USA,2023-05-31,33.0706989,-117.2664634,California
216,NIKE_OWNED_STORE,17602532810,Nike Factory Store - Barstow,NORTH_AMERICA,Nike,Outlets at Barstow,Barstow,CA,92311-9414,USA,2013-05-23,34.845608,-117.084336,California
307,NIKE_OWNED_STORE,16192949385,Nike Well Collective - Fashion Valley,NORTH_AMERICA,Nike,Fashion Valley Mall,San Diego,CA,92108-1156,USA,2004-11-15,32.767911,-117.168151,California
4,NIKE_OWNED_STORE,16196593460,Nike Clearance Store - Alpine,NORTH_AMERICA,Nike,Viejas Outlet Center,Alpine,CA,91901-1697,USA,1998-06-13,32.84014,-116.704692,California
30,NIKE_OWNED_STORE,16194288849,Nike Factory Store - San Ysidro,NORTH_AMERICA,Nike,Las Americas Premium Outlets,San Ysidro,CA,92173-3002,USA,1988-11-08,32.5442297,-117.0411319,California
345,NIKE_OWNED_STORE,18057731684,Nike Factory Store - Pismo Beach,NORTH_AMERICA,Nike,Pismo Beach Premium Outlets,Pismo Beach,CA,93449-5007,USA,2009-02-10,35.1364961,-120.6295234,California
121,NIKE_OWNED_STORE,15596859711,Nike Factory Store - Tulare,NORTH_AMERICA,Nike,"1553 Retherford St., #C080",Tulare,CA,93274-0000,USA,2003-08-06,36.2274851,-119.3355132,California
445,NIKE_OWNED_STORE,17024308910,Nike Well Collective - Red Rock,NORTH_AMERICA,Nike,2010 Festival Plaza Dr. #100,Las Vegas,NV,89135-1453,USA,2021-12-02,36.149273,-115.3332333,Nevada
55,NIKE_OWNED_STORE,17028967444,Nike Clearance Store - Las Vegas South,NORTH_AMERICA,Nike,Las Vegas Premium Outlets - South,Las Vegas,NV,89123-1001,USA,1993-11-19,36.056007,-115.169509,Nevada
385,NIKE_OWNED_STORE,17024070165,Nike Unite - Henderson,NORTH_AMERICA,Nike,Silverado Ranch Plaza,Las Vegas,NV,89183-6900,USA,2011-11-15,36.011133,-115.121674,Nevada
93,NIKE_OWNED_STORE,17026508888,Nike Las Vegas,NORTH_AMERICA,Nike,The Forum Shops at Caesars,Las Vegas,NV,89109-8975,USA,1997-11-21,36.119598,-115.1786,Nevada
119,NIKE_OWNED_STORE,17023828055,Nike Factory Store - Las Vegas North,NORTH_AMERICA,Nike,Las Vegas Premium Outlets - North,Las Vegas,NV,89106-4543,USA,2003-08-01,36.162076,-115.158221,Nevada
37,NIKE_OWNED_STORE,14088474300,Nike Factory Store - Gilroy,NORTH_AMERICA,Nike,Gilroy Premium Outlets,Gilroy,CA,95020-7321,USA,1990-02-02,37.020773,-121.564515,California
211,NIKE_OWNED_STORE,14083744147,Nike Factory Store - San Jose,NORTH_AMERICA,Nike,Nike Factory Store,San Jose,CA,95129-5107,USA,2014-02-13,37.292912,-121.988485,California
411,NIKE_OWNED_STORE,14082167067,Nike Well Collective - Santana Row,NORTH_AMERICA,Nike,"333 Santana Row, Suite 1000",San Jose,CA,95128-2027,USA,2021-05-13,37.322522,-121.948068,California
123,NIKE_OWNED_STORE,14089426457,Nike Factory Store - Milpitas,NORTH_AMERICA,Nike,The Great Mall,Milpitas,CA,95035-8041,USA,2005-04-28,37.414978,-121.89677,California
356,NIKE_OWNED_STORE,19254541272,Nike Factory Store - Livermore,NORTH_AMERICA,Nike,Livermore Valley Premium Outlets,Livermore,CA,94551-4203,USA,2012-11-08,37.698661,-121.843267,California
456,NIKE_OWNED_STORE,19252150578,Nike Well Collective - San Ramon,NORTH_AMERICA,Nike,6000 Bollinger Canyon Rd STE 1400,San Ramon,CA,94583-2307,USA,2022-01-27,37.7629355,-121.959808,California
377,NIKE_OWNED_STORE,15104833650,Nike Clearance Store - San Leandro,NORTH_AMERICA,Nike,1275 Marina Blvd,San Leandro,CA,94577-3322,USA,2010-04-13,37.710026,-122.163458,California
476,NIKE_OWNED_STORE,15107358363,Nike Style - Emeryville,NORTH_AMERICA,Nike,5636 Bay Street,Emeryville,CA,94608-2408,USA,2023-03-09,37.8348372,-122.2917494,California
86,NIKE_OWNED_STORE,14153926453,Nike San Francisco,NORTH_AMERICA,Nike,278 Post Street,San Francisco,CA,94108-5101,USA,1997-02-15,37.788682,-122.406676,California
552,NIKE_OWNED_STORE,15108689344,Nike Well Collective - 4th Street,NORTH_AMERICA,Nike,1787 Fourth St,Berkeley,CA,94710-1710,USA,2023-05-25,37.8706327,-122.3005201,California
386,NIKE_OWNED_STORE,16238772027,Nike Factory Store - Glendale,NORTH_AMERICA,Nike,Tanger Outlet Center - Westgate,Glendale,AZ,85305-6813,USA,2012-11-15,33.534467,-112.267103,Arizona
35,NIKE_OWNED_STORE,19169857313,Nike Factory Store - Folsom,NORTH_AMERICA,Nike,Folsom Premium Outlets,Folsom,CA,95630-8003,USA,1990-03-08,38.644352,-121.188938,California
573,NIKE_OWNED_STORE,19162460142,Nike Clearance Store - Sacramento,NORTH_AMERICA,Nike,"2100 Arden Way, Suite #172",Sacramento,CA,95825-2217,USA,2023-05-17,38.5949072,-121.4160289,California
62,NIKE_OWNED_STORE,16234650111,Nike Factory Store - Phoenix,NORTH_AMERICA,Nike,Outlets at Anthem,Phoenix,AZ,85086-0415,USA,1996-09-26,33.874877,-112.148931,Arizona
72,NIKE_OWNED_STORE,17074557014,Nike Factory Store - Vacaville,NORTH_AMERICA,Nike,Vacaville Premium Outlets,Vacaville,CA,95687-3235,USA,1997-11-07,38.369113,-121.954543,California
262,NIKE_OWNED_STORE,17072577093,Nike Factory Store - Napa,NORTH_AMERICA,Nike,Napa Premium Outlets,Napa,CA,94558-5630,USA,2017-06-29,38.295224,-122.302727,California
294,NIKE_OWNED_STORE,1-480-282-4363,Nike Unite - Desert Ridge,NORTH_AMERICA,Nike,"21001 N Tatum Blvd, Suite #38-1330",Phoenix,AZ,85050,USA,2021-09-09,33.67635376280258,-111.97359517985805,Arizona
134,NIKE_OWNED_STORE,14808971312,Nike Clearance Store - Tempe,NORTH_AMERICA,Nike,Arizona Mills Mall,Tempe,AZ,85282-6420,USA,2006-05-12,33.38326,-111.964289,Arizona
207,NIKE_OWNED_STORE,14806391780,Nike Unite - Chandler,NORTH_AMERICA,Nike,Phoenix Premium Outlets,Chandler,AZ,85226-5518,USA,2013-04-04,33.28794,-111.974034,Arizona
147,NIKE_OWNED_STORE,17077699245,Nike Factory Store - Petaluma,NORTH_AMERICA,Nike,Petaluma Village Premium Outlets,Petaluma,CA,94952-1988,USA,2007-05-02,38.25761,-122.64999,California
483,NIKE_OWNED_STORE,16028071028,Nike Unite - Tempe Marketplace,NORTH_AMERICA,Nike,2000 E Rio Salado Pkwy #1253,Tempe,AZ,85281-5181,USA,2023-06-01,33.4329995,-111.9055278,Arizona
335,NIKE_OWNED_STORE,17753587871,Nike Unite - Reno,NORTH_AMERICA,Nike,Outlets at Legends,Sparks,NV,89434-4419,USA,2009-06-18,39.53192,-119.721471,Nevada
238,NIKE_OWNED_STORE,15207446499,Nike Factory Store - Marana,NORTH_AMERICA,Nike,Tucson Premium Outlets,Tucson,AZ,85742-8545,USA,2015-10-01,32.374912,-111.101944,Arizona
470,NIKE_OWNED_STORE,15207710080,Nike Clearance Store - Tucson,NORTH_AMERICA,Nike,5325 S. Calle Santa Cruz,Tucson,AZ,85714-3963,USA,2023-04-27,32.1549254,-110.9890754,Arizona
317,NIKE_OWNED_STORE,18019011232,Nike Unite - Lehi,NORTH_AMERICA,Nike,Outlets at Traverse Mountain,Lehi,UT,84043-3882,USA,2012-11-15,40.434678,-111.884048,Utah
464,NIKE_OWNED_STORE,13852746611,Nike Well Collective - Riverton,NORTH_AMERICA,Nike,13348 Teal Ridge Way Suite N-140,Riverton,UT,84096-0000,USA,2022-09-29,40.5087377,-111.994974,Utah
342,NIKE_OWNED_STORE,18012821269,Nike Factory Store - West Jordan,NORTH_AMERICA,Nike,Jordan Landing,West Jordan,UT,84084-5534,USA,2010-11-16,40.622379,-111.979776,Utah
61,NIKE_OWNED_STORE,14356497442,Nike Factory Store - Park City,NORTH_AMERICA,Nike,Outlets Park City,Park City,UT,84098-4529,USA,1991-12-18,40.725961,-111.552636,Utah
287,NIKE_OWNED_STORE,18014515492,Nike Factory Store - Farmington,NORTH_AMERICA,Nike,210 North Station Parkway,Farmington,UT,84025-2881,USA,2018-04-26,40.98458,-111.903551,Utah
205,NIKE_OWNED_STORE,12088983457,Nike Unite - Meridian,NORTH_AMERICA,Nike,Village at Meridian,Meridian,ID,83646-6286,USA,2012-10-25,43.6244865,-116.3517261,Idaho
162,NIKE_OWNED_STORE,19158773146,Nike Factory Store - Canutillo,NORTH_AMERICA,Nike,The Outlet Shoppes at El Paso,Canutillo,TX,79835-8594,USA,2007-10-11,31.912826,-106.585451,Texas
53,NIKE_OWNED_STORE,15413827700,Nike Factory Store - Bend,NORTH_AMERICA,Nike,Bend Factory Stores,Bend,OR,97702-3287,USA,1998-09-19,44.026219,-121.313306,Oregon
319,NIKE_OWNED_STORE,15416863141,Nike Well Collective - Eugene,NORTH_AMERICA,Nike,5th Street Market,Eugene,OR,97401-2780,USA,2021-01-21,44.053464,-123.090105,Oregon
129,NIKE_OWNED_STORE,15039820330,Nike Factory Store - Woodburn,NORTH_AMERICA,Nike,Woodburn Premium Outlets,Woodburn,OR,97071-8458,USA,2005-10-26,45.157412,-122.876818,Oregon
178,NIKE_OWNED_STORE,15415571653,Nike Factory Store - Lincoln City,NORTH_AMERICA,Nike,Lincoln City Outlets,Lincoln City,OR,97367-2661,USA,2008-03-11,44.959388,-124.01112,Oregon
533,NIKE_OWNED_STORE,15035427455,Nike Well Collective - Bridgeport Village,NORTH_AMERICA,Nike,Bridgeport Village,Tigard,OR,97224-7765,USA,2023-05-11,45.3967345,-122.7518181,Oregon
368,NIKE_OWNED_STORE,+1 (503) 221-6453,Nike Portland,NORTH_AMERICA,Nike,Kress Building,Portland,OR,97204,USA,2011-11-03,45.518918,-122.677139,Oregon
462,NIKE_OWNED_STORE,17192120048,Nike Well Collective - Colorado Springs,NORTH_AMERICA,Nike,Suite 309,Colorado Springs,CO,80920-7691,USA,2023-01-26,38.96266,-104.79524,Colorado
7,NIKE_OWNED_STORE,13032711928,Nike Factory Store - Lakewood,NORTH_AMERICA,Nike,14500 W Colfax Ave.  Suite 105B,Lakewood,CO,80401-3203,USA,2008-06-17,39.731476,-105.161397,Colorado
453,NIKE_OWNED_STORE,+1 (720) 743-3140,Nike Well Collective - Boulder,NORTH_AMERICA,Nike,"1755 29th Street, Suite #1096",Boulder,CO,80301,USA,2022-03-17,40.01813929287229,-105.25619873014483,Colorado
73,NIKE_OWNED_STORE,13036883013,Nike Factory Store - Castle Rock,NORTH_AMERICA,Nike,Outlets at Castle Rock,Castle Rock,CO,80108-1921,USA,1997-09-25,39.416603,-104.875015,Colorado
230,NIKE_OWNED_STORE,1-800-344-6453,Nike Clearance Store - Aurora,NORTH_AMERICA,Nike,15700 E Briarwood Circle,Aurora,CO,80016,USA,2021-11-11,39.592967828853546,-104.80941256874698,Colorado
450,NIKE_OWNED_STORE,13033390514,Nike Factory Store - Northfield,NORTH_AMERICA,Nike,"8230 E Northfield Blvd, #1370",Denver,CO,80238-3180,USA,2023-02-16,39.7826576,-104.8923802,Colorado
290,NIKE_OWNED_STORE,13033253101,Nike Factory Store - Thornton,NORTH_AMERICA,Nike,Denver Premium Outlets,Thornton,CO,80023-0001,USA,2018-09-27,39.947957,-104.986409,Colorado
292,NIKE_OWNED_STORE,19706636570,Nike Unite - Fort Collins,NORTH_AMERICA,Nike,2721 Council Tree Ave. #101,Fort Collins,CO,80525-6313,USA,2021-02-18,40.525133,-105.026514,Colorado
26,NIKE_OWNED_STORE,15037383930,Nike Factory Store - Seaside,NORTH_AMERICA,Nike,Seaside Factory Stores,Seaside,OR,97138-4606,USA,1998-11-14,45.999007,-123.917725,Oregon
148,NIKE_OWNED_STORE,+1 (360) 736-7434,Nike Clearance Store - Centralia,NORTH_AMERICA,Nike,109 W. High St.,Centralia,WA,98531,USA,2018-01-01,46.724148,-122.976028,Washington
215,NIKE_OWNED_STORE,12533335074,Nike Clearance Store - Auburn,NORTH_AMERICA,Nike,Auburn - Outlet Collection of Seattle,Auburn,WA,98001-0000,USA,2013-10-03,47.298408,-122.24392,Washington
289,NIKE_OWNED_STORE,15096244524,Nike Factory Store - Spokane,NORTH_AMERICA,Nike,618 W Main Ave,Spokane,WA,99201-0641,USA,2018-06-14,47.659343,-117.421862,Washington
206,NIKE_OWNED_STORE,18067851321,Nike Factory Store - Lubbock,NORTH_AMERICA,Nike,West End Shopping Center Lubbock,Lubbock,TX,79407-1649,USA,2015-11-05,33.567597,-101.947408,Texas
76,NIKE_OWNED_STORE,14258317900,Nike Factory Store - North Bend,NORTH_AMERICA,Nike,"661 S Fork Ave., Suite H",North Bend,WA,98045-8936,USA,1987-11-13,47.489906,-121.796038,Washington
266,NIKE_OWNED_STORE,4257472848,Nike Factory Store - Bellevue,NORTH_AMERICA,Nike,Marketplace at Factoria,Bellevue,WA,98006,USA,2018-01-01,47.574176,-122.171185,Washington
536,NIKE_OWNED_STORE,14254400431,Nike Bellevue Square,NORTH_AMERICA,Nike,565 Bellevue Square,Bellevue,WA,98004-5021,USA,2023-04-06,47.61619,-122.20386,Washington
125,NIKE_OWNED_STORE,13607163120,Nike Factory Store - Tulalip,NORTH_AMERICA,Nike,Seattle Premium Outlets,Tulalip,WA,98271-8093,USA,2005-05-05,48.092075,-122.187641,Washington
331,NIKE_OWNED_STORE,14054955935,Nike Factory Store - Oklahoma City,NORTH_AMERICA,Nike,OKC Outlets,Oklahoma City,OK,73127-9775,USA,2011-08-04,35.461885,-97.648258,Oklahoma
571,NIKE_OWNED_STORE,12107450506,Nike Well Collective - La Cantera,NORTH_AMERICA,Nike,"15900 La Cantera Pkwy, STE 1600",San Antonio,TX,78256-2587,USA,2023-05-31,29.5928668,-98.6106994,Texas
265,NIKE_OWNED_STORE,19567128018,Nike Clearance Store - Laredo,NORTH_AMERICA,Nike,The Outlet Shoppes at Laredo,Laredo,TX,78040-5949,USA,2017-03-16,27.501987,-99.512312,Texas
260,NIKE_OWNED_STORE,12105687099,Nike Unite - The Quarry,NORTH_AMERICA,Nike,255 E. Basse Rd STE1040,San Antonio,TX,78209-8338,USA,2020-11-12,29.495991,-98.48135,Texas
463,NIKE_OWNED_STORE,18174844957,Nike Well Collective - University Park Village,NORTH_AMERICA,Nike,1540 S. University Dr. Suite 112,Fort Worth,TX,76107-6508,USA,2022-11-17,32.7295959,-97.3615734,Texas
286,NIKE_OWNED_STORE,682-831-1475,Nike Factory Store - Fort Worth,NORTH_AMERICA,Nike,Tanger Outlet Center - Fort Worth,Fort Worth,TX,76177,USA,2018-01-01,33.022536,-97.281701,Texas
461,NIKE_OWNED_STORE,16822232378,Nike Well Collective - Southlake,NORTH_AMERICA,Nike,167 Grand Avenue,Southlake,TX,76092-7606,USA,2022-11-03,32.9421672,-97.1304905,Texas
42,NIKE_OWNED_STORE,15123538500,Nike Factory Store - San Marcos,NORTH_AMERICA,Nike,San Marcos Premium Outlets,San Marcos,TX,78666-5959,USA,1991-01-25,29.82848,-97.983402,Texas
135,NIKE_OWNED_STORE,19723552487,Nike Clearance Store - Grapevine,NORTH_AMERICA,Nike,Grapevine Mills,Grapevine,TX,76051-2020,USA,2006-05-10,32.964627,-97.044235,Texas
139,NIKE_OWNED_STORE,15128689511,Nike Factory Store - Round Rock,NORTH_AMERICA,Nike,Round Rock Premium Outlets,Round Rock,TX,78664-2675,USA,2006-08-03,30.564641,-97.689922,Texas
430,NIKE_OWNED_STORE,15122154130,Nike Well Collective - Domain Northside,NORTH_AMERICA,Nike,"11600 Rock Rose Ave, Suite W4",Austin,TX,78758-7976,USA,2021-07-01,30.4019765,-97.7226474,Texas
357,NIKE_OWNED_STORE,19725225970,Nike Factory Store - Grand Prairie,NORTH_AMERICA,Nike,Paragon Outlets Grand Prairie,Grand Prairie,TX,75052-8037,USA,2012-08-16,32.679316,-97.052158,Texas
427,NIKE_OWNED_STORE,15122154001,Nike Well Collective - South Congress,NORTH_AMERICA,Nike,1221 South Congress Ave,Austin,TX,78704-2403,USA,2021-05-06,30.251549,-97.748694,Texas
398,NIKE_OWNED_STORE,14692173840,Nike Well Collective - Legacy West,NORTH_AMERICA,Nike,"7400 Windrose Ave., Suite B105",Plano,TX,75024-0161,USA,2021-05-27,33.0792702,-96.8260963,Texas
512,NIKE_OWNED_STORE,19454682022,Nike NorthPark,NORTH_AMERICA,Nike,"8687 N Central Expy, Suite 1620",Dallas,TX,75225-4500,USA,2023-08-03,32.868639,-96.7739298,Texas
132,NIKE_OWNED_STORE,19726784580,Nike Factory Store - Allen,NORTH_AMERICA,Nike,Allen Premium Outlets,Allen,TX,75013-4921,USA,2005-11-11,33.131329,-96.659853,Texas
181,NIKE_OWNED_STORE,19725631882,Nike Factory Store - Terrell,NORTH_AMERICA,Nike,The Shops at Terrell,Terrell,TX,75160-6653,USA,2007-10-24,32.704396,-96.284526,Texas
195,NIKE_OWNED_STORE,+1 (402) 332-5135,Nike Factory Store - Omaha,NORTH_AMERICA,Nike,Omaha - Nebraska Crossings,Gretna,NE,68028,USA,2018-01-01,41.099198,-96.250477,Nebraska
279,NIKE_OWNED_STORE,19562464609,Nike Clearance Store - McAllen,NORTH_AMERICA,Nike,"3300 W Expwy 83, Suite 500",McAllen,TX,78501-8361,USA,2021-10-21,26.1968917,-98.2570135,Texas
115,NIKE_OWNED_STORE,19565652446,Nike Factory Store - Mercedes,NORTH_AMERICA,Nike,Rio Grande Valley Premium Outlets,Mercedes,TX,78570-4573,USA,2006-11-02,26.160495,-97.888858,Texas
130,NIKE_OWNED_STORE,19137887263,Nike Factory Store - Kansas City,NORTH_AMERICA,Nike,Legends at Village West,Kansas City,KS,66111-1902,USA,2006-04-19,39.125783,-94.825727,Kansas
169,NIKE_OWNED_STORE,12817581966,Nike Factory Store - Cypress,NORTH_AMERICA,Nike,Houston Premium Outlets,Cypress,TX,77433-4255,USA,2008-03-27,29.997371,-95.756534,Texas
8,NIKE_OWNED_STORE,12816444901,Nike Factory Store - Katy Mills,NORTH_AMERICA,Nike,5000 Katy Mills Cir.  Suite 202,Katy,TX,77494-4404,USA,2008-04-07,29.774058,-95.809487,Texas
515,NIKE_OWNED_STORE,18162568588,Nike Well Collective - Kansas City,NORTH_AMERICA,Nike,450 Nichols Rd,Kansas City,MO,64112-2005,USA,2023-03-02,39.0414464,-94.5932678,Missouri
397,NIKE_OWNED_STORE,12817199930,Nike Well Collective - The Woodlands,NORTH_AMERICA,Nike,"9595 Six Pines Dr., Suite 85",The Woodlands,TX,77380-1531,USA,2022-10-20,30.1634364,-95.4638973,Texas
229,NIKE_OWNED_STORE,18003446453,Nike Well Collective - CityCentre,NORTH_AMERICA,Nike,"822 Town and Country Blvd, #10",Houston,TX,77024-4659,USA,2022-03-17,29.781622,-95.561044,Texas
257,NIKE_OWNED_STORE,12819980010,Nike Clearance Store - Pasadena,NORTH_AMERICA,Nike,5726 Fairmont Parkway,Pasadena,TX,77505-3906,USA,2017-02-02,29.647242,-95.1533,Texas
321,NIKE_OWNED_STORE,12813373584,Nike Factory Store - Texas City,NORTH_AMERICA,Nike,Tanger Outlet Center - Galveston/Houston,Texas City,TX,77591-7053,USA,2012-10-18,29.425401,-95.060537,Texas
164,NIKE_OWNED_STORE,14173320522,Nike Factory Store - Branson,NORTH_AMERICA,Nike,Tanger Outlet Center - Branson,Branson,MO,65616-2188,USA,2007-11-07,36.644894,-93.263877,Missouri
376,NIKE_OWNED_STORE,15152257085,Nike Factory Store - Des Moines,NORTH_AMERICA,Nike,Jordan Creek Town Center,West Des Moines,IA,50266-8317,USA,2011-11-22,41.564657,-93.805248,Iowa
263,NIKE_OWNED_STORE,15159573151,Nike Factory Store - Altoona,NORTH_AMERICA,Nike,Outlets of Des Moines,Altoona,IA,50009-7612,USA,2018-01-01,41.655186,-93.512446,Iowa
244,NIKE_OWNED_STORE,15014557417,Nike Factory Store - Little Rock East,NORTH_AMERICA,Nike,Outlets of Little Rock,Little Rock,AR,72210-3056,USA,2015-11-12,34.660599,-92.407236,Arkansas
16,NIKE_OWNED_STORE,17634973888,Nike Factory Store - Albertville,NORTH_AMERICA,Nike,Albertville Premium Outlets,Albertville,MN,55301-8800,USA,2000-04-21,45.2448772,-93.6721536,Minnesota
604,NIKE_OWNED_STORE,16124251549,Nike Well Collective - Minnetonka,NORTH_AMERICA,Nike,12401 Wayzata Blvd. Ste 2096,Minnetonka,MN,55303,USA,2023-07-20,44.9676704,-93.4365718,Minnesota
22,NIKE_OWNED_STORE,+1 (319) 668-8047,Nike Clearance Store - Williamsburg  IA,NORTH_AMERICA,Nike,Tanger Outlet Center - Williamsburg,Williamsburg,IA,52361,USA,2018-01-01,41.691791,-92.005572,Iowa
616,NIKE_OWNED_STORE,19528566210,Nike Mall of America,NORTH_AMERICA,Nike,227 West Market,Bloomington,MN,55425,USA,2024-02-08,44.8553974,-93.2423435,Minnesota
234,NIKE_OWNED_STORE,16514545083,Nike Factory Store - Eagan,NORTH_AMERICA,Nike,Simon Outlets Twin Cities,Eagan,MN,55122-4410,USA,2014-08-14,44.815212,-93.216748,Minnesota
202,NIKE_OWNED_STORE,16367782288,Nike Factory Store - Chesterfield,NORTH_AMERICA,Nike,Chesterfield - St. Louis Premium Outlets,Chesterfield,MO,63005-0013,USA,2013-08-22,38.677355,-90.661935,Missouri
598,NIKE_OWNED_STORE,13143900015,Nike Well Collective - Frontenac,NORTH_AMERICA,Nike,"1701 S Lindbergh Blvd, Ste 3A",Saint Louis,MO,63131-3506,USA,2023-11-09,38.63011,-90.40732,Missouri
295,NIKE_OWNED_STORE,12252386320,Nike Unite - Baton Rouge,NORTH_AMERICA,Nike,7445 Corporate Blvd.  #600,Baton Rouge,LA,70809-9101,USA,2022-01-27,30.4332083,-91.1142911,Louisiana
161,NIKE_OWNED_STORE,19013329325,Nike Clearance Store - Memphis,NORTH_AMERICA,Nike,South Plaza Shopping Center,Memphis,TN,38116-6334,USA,2007-10-24,35.036539,-90.027752,Tennessee
245,NIKE_OWNED_STORE,16623495676,Nike Factory Store - Southaven,NORTH_AMERICA,Nike,Southaven Outlets,Southaven,MS,38671-6539,USA,2015-11-20,34.937417,-89.991612,Mississippi
163,NIKE_OWNED_STORE,12256444265,Nike Factory Store - Gonzales,NORTH_AMERICA,Nike,Tanger Outlet Center - Gonzales,Gonzales,LA,70737-5764,USA,2007-11-19,30.215107,-90.952299,Louisiana
